headword,definition
تَطْهِير,ختان
تَطْوِيع,تجنيد | إخضاع | تجنيد
تَطْوِيق,كبح | إحاطة | إحاطة
تَظَافَرَ,تَضَافَرَ
تَظَافُر,تَضَافُر
تَظَاهَرَ,يقوم بمظاهرة
تَظَاهُر,ادعاء
تَظْهِير,الأفلام
تَعَادَلَ,توازن
تَعَادُل,تساوٍ | توازن
تَعَاصَرَ,كانا في عصر واحد
تَعَاضُد,تعاون
تَعَاظُم,اشتداد | تكبّر | تكبّر
تَعَافَى,تعاف
تَعَاقُب,تتابع | تناوب
تَعَالٍ,التَّعَالِي
تَعَالَمَ,تظاهر بالعلم
تَعَالِيم,وصايا
تَعَامُل,معاملة | عُرف | تعاطٍ | تعاطٍ
تَعَب,أَتْعَاب
تَعَدٍّ,خرق | تعديات | تجاوز | تجاوزتعدياتالتعدي
تَعَدَّى,جَاوَزَ
تَعَدَّى على,ظلم
تَعَرُّق,تجزُّع
تَعَرَّضَ,واجه | تصدّى | تصدّى
تَعَرُّض,تدخل | مواجهة
تَعَرُّف,تمييز
تَعَشٍّ,التعشّي
تَعَطُّل,عن العمل
تَعَقُّب,تتبع
تَعَلُّق,تدلّ | علاقة | علاقة
تَعَلُّق بـ,تشبث
تَعَهَّدَ,رعى
تَعَهَّدَ بـ,التزم
تَعَهُّد,التزام | رعاية | رعاية
تَعِلَّة,مبرر
تَعِيس,تُعَسَاءُ
تَعْبِئَة,شحن | تجنيد | تجنيد
تَعْبِيد,تعبيد الطرق
تَعْبِير,تَعَابِيرُ | عبارة | أسلوب | عبارةتَعَابِيرُ | أسلوبتَعَابِيرُ
تَعْتَعَ,في كلامه
تَعْجِيل,تسريع
تَعْداد,عدّ | السكان | إحصائية
تَعْدِيل,تبديل | تسوية | تَعْدِيلات | تبديلتَعْدِيلات | تسويةتَعْدِيلات
تَعْرِيض,توسيع
تَعْرِيف,تحديد | إخبار | تحديدتَعَارِيفُ | تَعْريفات | إخبارتَعَارِيفُ | تَعْريفات
تَعْرِيَة,حرمان | تجريد | حتّ | حرمان | تجريد
تَعْزِيَة,تَعَازٍ التعازي
تَعْشِيقَة,ناقل الحركة
تَعْقِيب,تعليق
تَعْلِيق,تعقيب | تدلية | ربط | تَرْك الشَّيء مُعَلَّقًا | تعقيب | تدلية
تَعْلِيقَة,حاشية
تَعْلِيم,تدريس | وصايا | توجيه
تَعْمِيد,تثبيت | الولد
تَعْمِير,طول العمر
تَعْمِيم,نشر | منشور | إطلاق | إطلاق | منشور
تَعْوِيذ,تَعَاوِيذ
تَعْيِين,تخصيص | تحديد | في منصب | تحصيص | تخصيص | تحديد | تحصيص
تَغَدٍّ,التَّغَدِّي
تَغَرُّض,تحيّز
تَغَوَّلَ على,تَغَوُّل
تَغْذِيَة,آلة | شخص
تَغْرِيب,نفي | تنفير | تنفير
تَغْرِير,إغواء
تَغْشِيَة,تغطية
تَغْيِير,تَغْيِيرَات
تَفَادٍ,تَجَنُّب
تَفَاصَحَ,تَكَلَّفَ الفَصَاحَةَ
تَفَتَّلَ,اِلْتَوَى
تَفَرُّد,انعزال
تَفَسَّحَ,تنزه
تَفَشَّى,يتفشى
تَفَوَّهَ بـ,نَطَقَ
تَفْرِيط,تقصير
تَفْرِيق,تمييز | تبديد | توزيع
تَفْسِير,شرح | تأويل | تعليق | تأويلتَفَاسِيرُ | تعليقتَفَاسِيرُ
تَفْصِيل,إسهاب | تَفَاصِيل | الثياب | إسهاب
تَقَانَة,متانة | تكنولوجيا | طَمْي | متانة | طَمْي | إحكام
تَقَدَّمَ,تطوّر | سبق | تطوّر
تَقَدُّم,تطوّر | سبق | تحسن | رقيّ | تطوّر
تَقَصَّفَ,تكسّر
تَقَلَّبَ,تغيّر | تأرجح | تحرّك من جانب إلى جانب | اِنْقَلَبَ | تغيّر | تأرجح | تحرّك من جانب إلى جانب
تَقَلُّب,تحرّك من جانب إلى جانب | تَأَرْجُح | تغيّر في المواقف | تغير | تحرّك من جانب إلى جانب
تَقَمَّعَ,جرى في قمع
تَقَى,خاف
تَقَيُّد,التزام
تَقَيُّد بـ,مراعاة
تَقِيَّة,خَوْف
تَقْبِيح,تبشيع
تَقْدِمَة,تَقَادِمُ
تَقْدِير,توقّع | تخمين | حسبان | اعتبار | توقّع | تخمين | حسبان
تَقْدِيم,تَقَادِيمُ | تعريف | تعريفتَقَادِيمُ
تَقْرِيب,تَوْفِيق | القِرْبَان | إِدْناء
تَقْرِير,عزم
تَقْرِيظ,مدح
تَقْسِيم,تجزئة | توزيع | تجزئةتَقَاسِيم | توزيعتَقَاسِيم
تَقْصِير,إهمال
تَقْلِيد,تزييف | تنصيب | عرف | محاكاة | تزييف | تنصيب
تَقْنِيع,إقناع
تَقْوِيم,روزنامة | تقييم | تصحيح | تقييمتَقَاوِيمُ | تصحيحتَقَاوِيمُ
تَقْيِيد,تسجيل | حصر | تكبيل | تسجيل | تكبيل
تَكَوُّن,تَشَكُّل
تَكِيَّة,تَكَايا | ملجأ للعجزة
تَكْرِير,تنقية
تَكْرِيس,تَخْصِيص | تَثْبِيت | تَقْدِيس
تَكْلِفَة,تَكاليف
تَكْلِيف,تفويض | رسميات | تفويض
تَكْميل,إِكْمال
تَكْمِيم,تكميم الفم
تَكْوِين,بنية | تشكيل | شكل | تشكيل
تَلا,الكِتابَ | تَبِعَ
تَلاشٍ,التَّلاشِي
تَلاقٍ,اَلتَّلَاقِي
تَلاقَى,تَلاقَ
تَلَافٍ,إِصْلاح | تَجَنُّب
تَلَطُّف,كياسة
تَلَقٍّ,التَّلَقِّي
تَلَمَّظَ,تَلَمُّظ
تَلَيُّف,مرض
تَلِيفُون,تِلِفُون
تَلّ,تُلُول تِلال
تَلْحِين,موسيقي
تَلْطِيف,تسميل الكلام
تَلْقِيح,إخصاب | تطعيم | إخصاب
تَلْقِيم,سِلاَحٍ
تَلْمِيح,تَلامِيحُ
تَلْيِين,تليين البَطْن
تَميْمَة,تمائم
تَمَاثَلَ,للشفاء
تَمَاثُل,تشابه | للشفاء | تشابه
تَمَام,كمال | انتهاء | تامّ
تَمَدَّدَ,استلقى | انبسط | انبسط
تَمَدُّد,انبساط | استلقاء
تَمَشٍّ,التَّمَشِّي
تَمَعَّنَ في,تَعَمَّقَ في
تَمَعُّج,حركة دودية
تَمَلَّى,استمتع
تَمّ,تامّ | طائر
تَمْثِيل,سينمائي
تَمْرَة,تَمَرَات تَمْر تُمُور
تَمْرِين,تَمَارِينُ
تَمْشيط,الشعر
تَمْهِيد,تسوية | تَسْهِيل | مقدمة | ترتيب | تسوية | مقدمة | ترتيب
تَمْيِيز,معرفة الضّارَّ من النافع | فصل | تفضيل | تفريق | تفضيل | تفريق
تَنَازَلَ,تعطّف
تَنَازَلَ عن,تخلّى عن
تَنَازُل عن,رخصة
تَنَاظَرَ,تناقش
تَنَافَى,تَنَافَ
تَنَامٍ,التنامي
تَنَامَى,كثّر زاد
تَنَاهٍ,التناهي
تَنَاوَلَ,أخَذَ | الموضوع | الطعام | تَجَرَّعَ | أخَذَ
تَنَاوُل,الموضوع | الطعام | أَخْذ | أَخْذ
تَنَحٍّ,التَّنَحِّي
تَنَزَّهَ,تَنَزُّه
تَنَسُّج,تكوّن الأنسجة
تَنُّور,تَنَانِيرُ
تَنْزِيل,وحي
تَنْزِيه عن,إِبْعاد
تَهَادَى,في السير | تَهَادٍ
تَهَافَتَ,تَسَاقَطَ
تَهَافُت,تَسَاقُط
تَهَالَكَ على,تَسَاقَطَ
تَهَجٍّ,التَّهَجِّي
تَهَيَّبَ,خَافَ | أَخَافَ | ملأ مهابةً | خَافَ
تَهْلِيل,تهاليل
تَهْنِئَة,تَهْنِئَات تَهَانٍ التهاني | تَهْنِئَات | تَهَانٍ | التهاني
تَهْوِيد,تحويل إلى دين اليهود
تَواءمَ,تَنَاسَبَ
تَوَارٍ,التَّوارِي
تَوَازَنَ,تعادل | استقر
تَوَازُن,تعادل
تَوَاصَلَ,ترابط | اِسْتَمَرَّ | ترابط
تَوَاصُل,اتِّصال | اِسْتِمْرار
تَوَافِه تَافِهَات,أتفه
تَوَالٍ,التَّوَالِي
تَوَحُّد,أوتيزم
تَوَخٍّ,التَّوَخِّي
تَوَسَّعَ,كَانَ وَاسِعاً
تَوَسَّلَ,تَوَسُّل
تَوَقَّعَ,تنبأ | ترقب
تَوْأَم,تَوَائِم
تَوْثِيق,تسجيل | تصديق
تَوْجِيه,تحكّم | إِرْسال | تسديد | إِرْشاد قيادة | إِرْشاد | تحكّمتَوْجِيهَات | تسديدتَوْجِيهَات
تَوْحِيد,إيمان بإله واحد
تَوْرِيد,تزويد | إِسْتِيراد | تزويد
تَوْفِير,تكثير | تجهيز | اقتصاد | تكثير | تجهيز
تَوْق,تَوَقَان
تَوْقِيع,تَوَاقِيعُ
تَوْلِيَة,تنصيب
تَيْس,تُيُوس
تُؤَدَة,تأنٍ
تُحْفَة,هديّة | تُحَف | هديّةتُحَف
تُخَمَة,تُخَم
تُرَاب,أَتْرِبَة
تُرْبَة,أرض | مقبرة | مقبرةتُرَب
تُرْبَةأرض,تُرَب
تُرْس,تُرُوس
تُرْعَة,تُرَع
تُفَّاحَة,تُفَّاح
تُفْل,بصاق
تُنّ,سمك
تُهْمَة,تُهَمَات تُهَم
تُوبة,آلة موسيقية
تُوفة,تُوف
تُوَيْج,تويج الزهرة | تصغير التَّاج
تُوُفِّيَ,مات
تِرْب,أَتْرَاب
تِرْباس,ترابيس
تِرْس,تروس
تِرْياق,درياق
تِلْقَاءَ,تُجَاهَ
تِلْمِيذ,تَلامِذَة تَلامِيذُ
تِمْثَال,تَمَاثِيلُ
تِمْسَاح,تَمَاسِيحُ
تِنِّين,حيوان اسطوري
تِنِّينحيوان اسطوري,تَنَانِين | تنينات
تِينَة,ثمر
تِيه,تكبّر
تٖٖ,تَدْوِين
تٲٚ,غَزْل
تٽ,مَشْحُون
تپ,كهوليّ
ثؠ,إِسْتَدْرَكَ
ثاء,حرف عربي
ثابت,بدون تغيير
ثج,فودكا
ثح,وَضَعَتْ
ثرب,غشاء الأمعاء
ثز,سَأَم
ثقب أسود,في الفضاء
ثمر,ثمرة
ثمل,سكران | في سكر شديد
ثنّة,الفرس
ثوم,معمّر
ثىػ,دليل إثبات | شهادة الإيمان
ثيامين,ثيامين
ثيتا,أحد حروف الأبجدية الإغريقية
ثيرمستور,مقاوم حراري
ثيفا,اليونان
ثَأْر,أَثْآر
ثَائِر,ثُوَّار
ثَائِرَة,ثَوَائِر
ثَابِت,ثَوَابِتُ
ثَارَ,ثورة | هاج
ثَاكِل,ثَكَالَى
ثَاكِلثَكَالَى,ثَاكِلَة | ثَكْلَى
ثَانٍ,ثَانِيَة
ثَانِيَة,ثَوَانٍ
ثَبَتَ,حافظ | تأكّد | رسخ | تأكّد
ثَبِيت,حَزيم
ثَجِير,ثفل العنب
ثَخِين,ثُخَنَاءُ
ثَدْي,أَثْدَاء
ثَرًى,أَثْرَاء
ثَرِيّ,اثرياء
ثَرْثَار,ثَرَاثِرُ
ثَعْلَب,ثَعَالِبُ
ثَغْر,ثغر بحري
ثَقِيل,ثُقَلاءُ ثِقَال
ثَقَّابَة,حشرة
ثَقْب,ثُقُوب أَثْقَاب
ثَلْج,ثُلُوج
ثَمَانِيَة,ثَمَانٍ
ثَمَرَة,ثَمَر ثِمَار أَثْمَار
ثَمَن,أَثْمَان
ثَنَاء,أَثْنِيَة
ثَنِيَّة,ثَنَايَا
ثَنَّى,طَوَى | جعله اثنين | طَوَى
ثَويّ,أَثْوياءُ
ثَوَى بـ,ثَوَى في
ثَوْب,ثِيَاب أَثْوَاب
ثَوْر,ثِيرَان أَثْوَار ثِيَرَة
ثُؤْلُول,ثَآلِيل
ثُرَيَّا,ثُرَيَّات
ثُعْبَان,ثَعَابِينُ
ثُغْرَة,ثُغَر
ثُقْبَة,ثُقَب
ثُمام,عشب من الفصيلة النجيلية
ثُمَالَة,ثُمال | رغوة | ثُمال
ثُمَالَةرغوة,ثُمال
ثِ,سَلِيط
ثِقَاب,ثُقُب
ثِقْل,أهمية | أَثْقَال | أهميةأَثْقَال
ثِنْي,أَثْنَاء
ثٛة,مباغت
ث٢ٱ,ٴرج
ث٧ٶ,لوح الموج
ثٰ,ماهر بتسلق صخور
جؠد,إسن
جائزة نوبل,نوبل
جائِحة,جَوَائِح
جائِع,الطَّاوِي
جاتروفا,شجيرة أميركية
جاثٍ,الجاثي
جاحظ,العينين
جاذِبيَّة,الأرض | فتنة | الأرض
جار الماء,شجر
جاروش,جاروشة
جاز,نوع موسيقي
جازان,مدينة على ساحل البحر الأحمر في السعودية
جافا,لغة برمجة
جاك دريدا,فيلسوف فرنسيّ
جاكارتا,جاكرتا
جالون,غالون جلون
جاليبولي,شبه جزيرة تركية
جاليوم,غاليوم
جان بياجيه,عالم نفسي سويسريّ
جانب,أَطْرَاف
جانِح,منتهك
جاوة,جزيرة اندونيسية
جاورس,نبات
جاوْدار,نبات
جاين أوستن,روائية إنجليزية
جبل أوليمبوس,جبل في اليونان
جبل إفرست,إيفرست إفرست
جبهة,كُتَل
جبهة القتال,جبهات القتال
جبيل,بيبلوس
جبّانة,مقبرة
جث,وصل كلمتين بواصلة
جحوظ,العين
جدا,تقريبا
جدول الأعمال,جداول الأعمال
جدول ممتد,جداول ممتدة
جدّة,مدينة سعودية
جذر حر,جذور حرة
جرافيتي,غرافيتي
جرة,أَزْيَار
جرجار,نبات
جرح خطير,جُرُوح خطيرة
جرذ الأرض,جرذان الأرض
جرذ الصحراء,جرذان الصحراء
جرش,المملكة الأردنية
جرنيط,حيوان
جريمة حرب,جرائم حرب
جرينلاندي,جرينلانديون
جزء من مئة,بالمئة
جزر ماركيساس,جزر المركيز
جزيء ضخم,جزيئات ضخمة
جزيئة حيوية,جزيئات حيوية
جسر علوي,جسور علوية
جسم مضاد,أجسام مضادّة
جسيم غولجي,جسيم جولجي
جسيم مشحون,جسيمات مشحونة
جغرافيا,علم الجغرافيا
جف,ذليل
جلاسجو,إسكتلندا
جلاّب,العبيد
جلدر,وحدة نقد هولندي
جلسة استحضار الأرواح,جَلْسات تحضير الأرواح
جلفاني,كلفاني غلوانيّ
جلوكوما,غلوكوما
جليان,رؤيا
جمست,حجر كريم
جمعة,يوم الجمعة
جمعية خيرية,جمعيات خيرية
جملة شرطِيَّة,جمل شرطِيَّة
جندول,جناديل
جندولجناديل,غندول
جنطيانية,فصيلة نباتية
جنكو,شجرة
جنوب كارولينا,الولايات المتحدة
جنوة,إيطاليا
جنين,بلدة في الضفة الغربيّة
جهاز السحب الآلي,أجهزة السحب الآلي
جهاز الطرد المركزي,أجهزة الطرد المركزي
جهاز غولجي,جهاز جولجي
جهنمية,نبات متسلق اِستوائيّ
جواثم,رتبة للطيور
جوان,جوانات
جودو,رياضة الجودو
جوز,جَوْزَة
جوزة الهند,جوز الهند
جولف,لعبة
جونو,عاصمة ولاية ألاسكا
جيجاهرتز,جيجاهيرتز
جيم,جيمنيزيوم | حرف عربي
جين,مُوَرِّثَة
جيوفاني أنطونيو كانال,كاناليتو رسَّام إيطالي
جَائِزَة,جَوَائِزُ
جَائِع,جِيَاع | نَهِم
جَابٍ,جُبَاة
جَابِيَة,جَوَابٍ
جَاثِم,جُثَّم
جَادَ بـ,أعطى
جَادَّة,جَوَادُّ
جَار,جِيرَان
جَارٍ,الجَارِي | حاضر | راكض | حادث
جَارِح,مفترس
جَارِحَة,جَوَارِح
جَارِيَة,صبية | جَوَارٍ
جَازَ,عبر
جَاسُوس,جَوَاسِيسُ
جَافٍ,خشن | فظّ
جَافّ,فظّ | ممل | ناشِف | ناشِف
جَالِيَة,جَوَالٍ
جَام,جَامَات أَجْوَام
جَامُوس,جَوَامِيسُ
جَامِد,غير منصرف | ليس به حركة | رسْمِيّ
جَانٍ,جُنَاة
جَانِب,جناح | خاصرة | جَوَانِب | جزء | مظهر | خاصرةجَوَانِب
جَانِح,جانب
جَانِحَة,جَوَانِحُ
جَاهِل,جُهَّال جُهَلاءُ | جُهَّال | جُهَلاءُ
جَبَان,جُبَنَاءُ
جَبَانَة,جبن
جَبَل,جِبَال
جَبَلَ,خَلَقَ
جَبِين,أَجْبُن أَجْبِنَة جُبُن
جَبَّار,هائل | قوي | متكبر | متكبرجَبَابِرَة
جَبْر,جبر العظام | تكبّر | قضاء وقدر | قوة | إصلاح | تكبّر | إصلاح
جَبْرِيَّة,إيمان بالقضاء والقدر
جَبْلَة,بلازما | طبيعة | طبيعة
جَثَمَ,الإنسان | الطائر
جَحْش,جِحاشُ
جَحْفَل,جَحَافِلُ
جَدَث,قبر
جَدَلَ,صرع | فتل
جَدِيد,أَجِدَّة جُدُد | غير بال
جَدِير بـ,جُدَرَاءُ
جَدّ,سلف
جَدَّدَ,أحيا | حدّث
جَدَّلَ,فتل | صرع
جَدْوَل,نهر صغير | قائمة | قائمةجَدَاوِلُ
جَدْي,جِدْيَان أَجْدٍ
جَذَبَ,شَدَّ | استهوى
جَذِل,جُذْلان
جَذَّرَ,أصّل
جَذْر,جُذُور
جَذْرجُذُور,جِذْر
جَرَحَ,مشاعر
جَرَدَ,البضائع الموجودة
جَرَس,أَجْرَاس
جَرَى,حدث
جَرِيء,أجرأ
جَرِيح,جَرْحَى
جَرِيدَة,جَرَائِدُ
جَرِيرَة,جَرَائِرُ
جَرِيض,مغتمّ
جَرِيمَة,جَرَائِمُ
جَرَّاح,طبيب جراح
جَرَّارَة,جَرَّارَات
جَرَّافَة,جرّار آلي
جَرَّة,جِرَار
جَرَّدَ,حرم | عرّى
جَرْدَل,جرادل
جَرْس,جُرُوس
جَرْعَة,شربة | من الدواء
جَرْو,جِرَاء
جَزَاء,ثواب مكافأة | عقاب | غرامة | غرامة
جَزَر,جَزْرَة
جَزَرَ,البحر
جَزَمَ,بتّ | أكّد
جَزَى على,جَزَى بـ
جَزِيرَة,جُزُر جَزَائِرُ
جَزْر,البحر | ذبح | البحر
جَزْلَة,قِطْعَة
جَزْم,تأكيد | قطع | حالة الجزم | بتّ | تأكيد
جَسَامَة,بدانة | حجم | فداحة | أهمية | ضخامة | بدانة | فداحة | أهمية | ضخامة
جَسَد,أَجْسَاد
جَسُور,جُسُر
جَسِيم,جِسَام
جَعْبَة,جِعَاب
جَعْد,جِعَاد
جَفْن,العين | العينأَجْفَان | جُفُون
جَفْنَة,كرمة
جَلاَء,وُضُوح | إخلاء | صقل | إظهار | إخلاء | إظهار
جَلَبَ,إِسْتَوْرَدَ
جَلَد,سماء | تحمل
جَلَل,هامّ
جَلَمَ,قطع
جَلِيس,جُلَسَاءُ
جَلَّاد,بائع الجلد
جَلَّدَ,جَمَّدَ | كِتَاب | نزع جلده
جَلْب,إلى محكمة | إحضار | استيراد | كسب | جذب | إحضار
جَلْد,ذو ثبات | ضرب السياط
جَلْسَة,لجنة | جَلَسَات
جَلْمَد,صَخْر | صَخْرجلامِد
جَمَاد,أرض
جَمَاعَة,حَشْد
جَمَدَ,صَارَ جَلِيداً
جَمَعَ,الأرقام | وضع في صيغة الجمع | وضع في صيغة الجمع
جَمَل,جِمَال
جَمِيع,كَافَّةً
جَمِيل,فضل | وسيم
جَمِيلوسيم,أجملُ
جَمّ,جَامّ
جَمَّ,استراح
جَمَّال,جَمَّالَة
جَمَّدَ,الأموال ونحوها | قسّى | تَجْمِيد
جَمَّعَ,ضمّ
جَمْرَة,دمّلة | حصاة | دمّلةجَمْر | جَمَرَات
جَمْع,تصنيف | جُمُوع | حروف | ضمّ دَمْج | أرقام | تصنيف | أرقام
جَنَازَة,جَنَائِزُ
جَنَان,أَجْنَان
جَنَى,كسب
جَنِين,أَجِنَّة
جَنَّة,حديقة | جَّنَّات جِنَان | فردوس | فردوسجَّنَّات | جِنَان | حديقةجَّنَّات | جِنَان
جَنْب,أَجْنَاب جُنُوب
جَنْبَة,ناحية | شجيرة
جَنْدَل,جَنَادِلُ
جَنْي,قطاف | كسب | تحقيق | تحقيق
جَهُول,جهلة
جَهَّزَ,زوّد
جَوَاب,أَجْوِبَة | حُلُول
جَوَاد,كريم
جَوَاز,رخصة | إمكانية
جَوّ,طقس | أَجْوَاء جِواء
جَوَّال,كشاف | رحالة | جَوَّالَة | رحالةجَوَّالَة
جَوَّدَ,حسّن | القارئ
جَوْب,خرق | تجول
جَوْبَة,فجوة
جَوْر,ظلم
جَوْرَب,جَوَارِبُ
جَوْف,داخل | بطن
جَوْفيّ,تحت الأرض
جَوْقَة,جماعة | من المنشدين | جماعة
جَوْلَة,مباراة | سفرة
جَوْهَر,حجر كريم | ماهية | ماهيةجَوَاهِرُ
جَيِّد,جِيَاد
جَيْب,الثوب | أنفي | جُيُوب | قلب | الثوبجُيُوب
جَيْش,جُيُوش
جُؤَار,الثور | الأسد | الأسد | الثور
جُؤْجُؤ,السفينة
جُبّ,أَجْبَاب جِبَاب
جُبْن,جبانة | جُبْنَة | جبانة
جُبْنجُبْنَة,أجبان
جُبْنَة,أجبان
جُثَّة,جُثَث
جُحْر,أَجْحَار جُحُور
جُدَّة,علامة
جُدْجُد,جَدَاجِد
جُدْجُدِيَّات,فصيلة
جُذَامَة,ما بقي من الزرع بعد الحصد
جُرَذ,جُرْذَان جِرْذَان
جُرْثُوم,جرثومة
جُرْثُومَة,جَرَاثِيمُ
جُرْح,جِرَاح جُرُوح
جُرْد جَرْدَاوَات,جَرْداء
جُرْف,أَجْرَاف جُرُوف
جُرْم,ذنْب
جُرْموق,جراميق
جُرْن,أَجْرَان
جُزْء,مجلد | قسم
جُزْءقسم,أجزاء
جُزْءمجلد,أجزاء
جُعَل,جِعْلان
جُفَاء,خَبَث
جُفَاة جَافِيَات جَوَافٍ,الجَافِي
جُلجلة,جمجمة
جُلُوس,قعود | جمهور | جمهور
جُلّ,ياسمين | الدابة | ورد | معظم
جُلْجُل,نبات
جُلْمُود,جَلامِيدُ
جُمُود,بلادة | حالة الجَمَاد | تَجَمُّد | بلا حركة | ركود | بلادة
جُمَّيْز,شجر
جُمْجُمَة,جَمَاجِمُ
جُمْرُك,جَمَارِك
جُمْلَة,جماعة | البيع بالجملة | عبارة | مجموع | جماعةجُمَل | عبارةجُمَل | مجموعجُمَل
جُمْلَةالبيع بالجملة,جُمَل
جُمْلَةعدّة,جُمَل
جُمْلَةً,بالجملة
جُمْهُور,حضور | حشد
جُناب,مَرَض الْجُنَاب
جُنجل,حشيشة الدينار
جُنيِّح,جناح صغير
جُنَيْنَة,جَنَائِنُ
جُنَّ,طار عقله | فقد صوابه
جُنَّاز,جَنَانِيز
جُنَّة,سُتُور أَسْتَار سُتُر | جُنَن | جُنَن
جُنْد,جُنُود أَجْنَاد
جُنْدُب,جنادب
جُنْدِيّ,جُنُود
جُهْد,جُهُود
جُورَة,حُفْرَة
جُورَةحُفْرَة,جُوَر
جُول,وحدة العمل أو الطاقة
جُون,خليج
جُوْخ,أَجْوَاخ
جِبْس,أَجْبَاس
جِدَار,جُدْرَان
جِدَة,قدرة
جِدّ,ضد هزل | اجتهاد
جِدَّة,حداثة
جِذْع,جُذُوع أَجْذَاع
جِذْل,الشجرة
جِرَاب,أَجْرِبَة جُرْب
جِرَاحَة,جِرَاح
جِرَايَة,مُرَتَّب | حصّة من الطعام | حصّة
جِرْم,أَجْرَام جُرُم
جِزْيَة,جِزًى
جِسْر,جُسُور أَجْسُر
جِسْم,هيئة | كتلة | شكل | بدن
جِسْمبدن,أَجْسَام | أَجْسُم
جِسْمشكل,أَجْسَام | أَجْسُم
جِسْمكتلة,أَجْسَام | أَجْسُم
جِسْممادة,أَجْسَام | أَجْسُم
جِسْمهيئة,أَجْسَام | أَجْسُم
جِلّ,مُسِنّ
جِلَّوْز,شرطي | شجر البندق
جِلْباب,جَلابِيب
جِلْد,جُلُود أَجْلاد
جِلْف,أَجْلاَف
جِلْوَاز,جَلاَوِزَة
جِنَاح,قسم | شقة | مستشفى | معرض | الطَّائر الطَّائرة | الطَّائر
جِنْس,نوع | نِكَاح | عرق | أحياء | لغة | أحياء
جِنْسِيّ,مثير للجنس
جِهَاز,أداة
جِهَة,موقع | فريق | مرجع | جِهَات | ناحية | ناحيةجِهَات
جِوار,عهد | قرب
جِيد,أَجْيَاد
جِيفَة,جِيَف
ج٠,لا يُصَدَّق
حاء,حرف عربي
حائض,حائضة
حائِز,شهادة
حاثّ,كهرباء
حاجز,أَسْدَاد
حادث السيارة,حوادث السيارات
حار,حِرار
حارس شخصي,حراس شخصيون
حارِش,مرض
حازِم,حصيف | جازِم | جازِمحَزَمَة
حاسة,أَسْمَاع
حاسِر,بلا درع | مكشوف
حاصِل,مجموع | بقية | حادث | مجموع
حاضنة,البيض
حاطوم,سنة سيئة
حافة,أَشْفَاء
حافٍ,حُفَاة حَوافٍ
حافّ,خبز
حاقَّة,قيامة | مصيبة
حالِيّ,فوريّ | راهن | فوريّ
حامض,ليمون
حامُول,نبات متطفل
حانث,في يمينه
حانُوتِيّ,صاحب الحانوت
حبرون,مدينة الخليل
حبس,سُجُون
حبل صوتي,أحبال صوتية
حبليات,شعبة
حبن,نبات
حبين,نبات
حبّار,بائع حبر
حجاج,العين
حجاز,السّعوديّة
حجة,إِدّعاءات
حجر الزاوية,أحجار الزاوية
حجر كريم,أحجار كريمة
حجم,قُدُود
حدأة,من الطيور الجارحة
حدوق,نوع من السمك
حديقة حيوان,حدائق حيوان
حراء,غار حراء
حرف جرّ,حروف جر
حرف ساكن,حروف ساكنة
حرف علة,حروف علة
حركة مضادة,حركات مضادة
حروف الزِّيادَة,سَأَلْتُمُونِيْهَا
حريش,كركدن | حشرة
حزام الأمان,أحزمة الأمان
حزب سياسي,أحزاب سياسية
حزمة البيانات,حزم البيانات
حشم,حَوَاشٍ
حصان,جِيَاد | وحدة قدرة
حصف,مرض جلدي
حصوة الكليةَ,حصوة الكلى
حصّة,رُفُود
حضيرة,عسكرية
حظر التجول,حظر التجوال
حؿٌ,لازوق
حفرة,جُوب | في شبكية العين
حفيد,أَحْفَاد حَفَدَة
حق النقض,أَنْقَاض نُقُوض
حقل الذرة,حقول الذرة
حقل مغنطيسي,حقل مغناطيسي
حقيبة الظّهر,حقائب الظّهر
حقيقة,حُقوق
حقيقي النواة,حقيقيات النوى
حكم,قَرَارَات
حكم البراءة,أحكام البراءة
حلالة هوائية,أيروسول
حلب,مدينة تقع في شمال سوريا
حلقة,هَالات
حلقة المكبس,حلقات المكبس
حليب اللبى,لبى
حمامي,التهاب جلدي
حمض أميني,أحماض أمينية
حمض أميني أساسي,أحماض أمينية أساسية
حمض دهني,أحماض دهنية
حمض ريبي نووي,حمض نووي ريبي
حملة صليبية,حملات صليبية
حمّالة,محفّة
حمّى التيفوئيد,حمّى التيفويد
حنفية,المذهب الحنفي
حنفية الحريق,حنفيات الحريق
حور أبيض,شجر
حوسبة,استخدام تكنولوجيا الحاسوب
حوض السّمك,أحواض السمك
حوّامة,مروحية
حياة شخص,سِيَر
حيد بحري,حيود بحرية
حيػ,إِفَادَة
حيوان داجن,حيوانات داجنة
حيوان منوي,حيوانات منوية
حَائِط,حِيطَان
حَائِك,حَاكَة
حَائِل,عائق
حَابِل,ساحر
حَاتِم,مشؤوم | قاضٍ | أسود | مشؤوم
حَاجَة,لزوم | عوز | رغبة | شيء | هدف
حَاجِب,ساتر | العين | بواب | طرف | العينحَوَاجِبُ
حَاجِز,فاصل | سياج | عائق | طريق
حَاجّ,حُجّاج حَجيج
حَادٍ,حُدَاة
حَادَ عن,حِدْ
حَادِث,حَوَادِثُ حادِثات
حَادِثَة,حَوَادِثُ
حَادّ,الصوت | قاطع | لاذع | شديد | الصوتأَحِدَّاءُ | حِدَاد
حَاذِق,حرّيف | حُذَّاق | حرّيف
حَارِس,قيم | خفير | بواب
