headword,definition
dissenting,disagreeing opposing | disagreeing | opposing | K |
dissention,disagreement discord | disagreement | discord
dissepiment,septum
dissertate,to discourse to talk at
disserve,to harm to serve badly
dissever,to divide to seperate | to divide | to seperate
dissident,disagreeing opposing non-orthodox
dissimilarity,lack of similarity difference
dissimulate,to conceal one's true feelings or intentions
dissipation,wantonness indulgence in sensual pleasure | dispersion
dissociable,separable can be divided
dissolution,death | disintegration breakup | death | b
dissolve,to annul | to melt; to fade away | to melt; to fade away
dissonance,disagreeing combination of sounds lack of harmony; disagreement | disagreeing combination of sounds | lack of harmony; disagreement |
dissuade from,to deter from persuade to abandon or give up (e.g. an idea) | to deter from | persuade to abandon or give up (e.g. an idea)dissuade
dissuasion,discouragement persuading to abandon or give up (e.g. an idea)
dissuasive,deterring
dissyllabic,consisting of two syllables
distance,aloofness unfriendliness | to keep at a distance | interval space | to keep at a distance |
distant,aloof unfriendly | far at a distance | aloof | unfriendly |
distemper#1,to paint with distemper | type of wall paint
distemper#2,to derange | testiness ill humor | viral disease of animals (esp. dogs)
distemperature,disorder illness; mental uneasiness
distend,to swell to expand | cause to swell
distension,expanding dilation
distich,a couplet two successive lines of verse (Prosody)
distichous,having two rows
distill,distil
distinct,different distinguishable marked
distinctive,typical characteristic; differentiating | typical | characteristic; differentiating |
distoma,genus of parasitic worms
distraught,extremely agitated bewildered
distress,distraint
distressingly,painfully
distribute,"to hand out to spread to allot | to hand out | to spread | to allot | Q%"""
distributor,device which distributes electric current to the spark plugs of an engine | smo or company which distributes | smo or company which distributes |
distributorship,"right of distribution | right of distribution | Q%"""
district,to divide into areas | a region a territory | a region | a territory |
distrustfulness,disbelief lack of trust
disturbed,agitated bothered concerned | agitated | bothered | concerned | L |
disulfide,sulfur compound
disunion,separation lack of unity
disunity,separation lack of unity
disvalue,to depreciate to consider of little value
ditch,to throw away to get rid of | to provide with a ditch | a long narrow excavation created to channel water | to throw away | to get rid of |
ditheism,the belief in two gods
dithyramb,ancient Greek hymn sung in honor of Dionysus; enthusiastic speech or writing
dithyrambic,of or in the manner of a dithyramb; passionate or inflated (of speech poem etc.)
ditto,to repeat to duplicate | the same thing | the same as above | symbol of repetition ditto mark | the same as above | Q | symbol of repetition | ditto mark |
ditty,a short song
ditz,a scatterbrained person
ditzy,scatterbrained
diuresis,excessive urination
diurnal,of the day daily | of the day | daily
diva,a celebrated female operatic star
divagate,to digress to lose clarity or turn aside from the main subject
divan,collection of poems | bureau council | couch | couchdewan
divanbureau council,dewan
divancollection of poems,dewan
divaricate,to branch | branching
divarication,branching division
dive F#dove dived,dived
diver,loon a fish-eating diving bird | smo who dives or works underwater
divergent thinking,creative thinking
diversion,from
diversionary,likely or designed to confuse or deceive | likely or designed to confuse or deceive | #L' | #L'
diversionist,saboteur wrecker | saboteur | wrecker
divert,to change course to turn away from | to amuse to entertain | to amuse | to entertain | #L | #L
divertimento,a light musical composition
diverting,amusing
dividable,can be divided
divide,water parting | be parted be separated | to part to separate | act or instance of dividing
divided,parted separated; shared distributed
divination,foretelling the future | foretelling the future | #M
divinatory,resembling a prophecy; conjectural
divine,clergyman | to guess to discover using intuition; to foretell by (or as if by) supernatural power to prophesy | of God God-like; religious sacred | excellent | (making ~)
Divine Comedy,Divina Commedia an epic poem by Dante
divineexcellent,diviner | divinest
divineof God God-like; religious sacred,diviner | divinest
Divinity,God
divinity,the study of religion theology | quality of being divine; divine being god or goddess
divisible,can be divided dividable
division,arithmetic | part section; the act of dividing; the process of becoming divided | arithmeticoperation of dividing | #Q'
divulgation,divulging
divulge,to reveal to disclose | to reveal | to disclose | #C | #C
divulgence,divulgement
divulsion,tearing apart
divvied,divvied divvying
divvy,to share to divide profits
divvyto share to divide profits Q#divvied,divvied | divvying
Dixie,southern states of the United States
Dixieland,southern states of the United States | type of jazz music
DIY,do-it-yourself
dizzily,dazedly
dizzy,silly thoughtless | Q& | vertiginous having a whirling sensation | vertiginous | having a whirling sensationdizzier | dizziest |
dizzysilly thoughtless,dizzier | dizziest |
djellaba,jellaba
Djoser,pharaoh of Egypt
dkm,dekameter
Dmitri Mendeleev,Russian chemist; created the first version of the chemical elements periodic table (1834-1907)
DN-RE,DO-OHE
DN:RH,GO1N'
DNA,deoxyribonucleic acid a substance known to be the carrier of genetic information
DNA fingerprint,a genetic fingerprint
DNBQN-N,79QE
DNERDNEN,DNERDNEN)
do all he can,try very hard (to accomplish smth)
do as you like,do as you see fit
do away with,to put an end to to end; to kill
do for,to destroy to ruin; to kill | to destroy | to ruin; to kill
do in,to kill
do justice to,to treat justly or fairly; appreciate fully
do one's utmost,try very hard (to accomplish smth)
do over,to do again; to renovate
do right by,to treat (smo) fairly
"DO,NJRF",AP6QN)
do-gooder,a naive idealist smo devoted to social reforms
DOA,'dead on arrival' (at the emergency room)
doc,doctor
docent,a university teacher
docile,willing to be taught | easily managed submissive
docker,smo who loads or unloads ships
docket,to label or ticket (a parcel) | an abstract | a schedule of proceedings in lawsuits pending in a court of law; a list of things to be done; an agenda | a label or ticket affixed to a package listing the contents | to label or ticket (a parcel)
dockworker,a dock worker a docker
doctor,to tamper with to falsify to fix | to give medical care | smo with the highest university degree; physician
doctoral,relating to a doctorate
doctorate,title of a doctor | title of a doctor |
doctored,falsified | given medical treatment
doctrinaire,dogmatic of a doctrine; impractical
doctrine,set of beliefs; religious teachings
documental,documentary
documentary,"a documentary film or television or radio program | based on actual events expressing things as perceived without insertion of fictional matter or interpretation | pertaining to or consisting of documents | pertaining to or consisting of documents | %K | %""K"
DoD,Department of Defense
dodder,type of parasitic vine | to walk unsteadily | type of parasitic vine
doddering,infirm feeble or senile
dodecahedron,dodecahedra dodecahedrons
dodger,an evasive person | small cake of corn bread | a leaflet a handbill | an evasive person | A | a leaflet | a handbill |
dodginess,evasiveness; shiftiness
dodgy,sly dishonest; chanceful fraught with risk
dodgysly dishonest; chanceful fraught with risk,dodgier | dodgiest
dodo,stupid person | extinct flightless bird
Dodoma,city in Tanzania
doer,a person who gets things done | a person who gets things done | b
does not,doesn't
doff,to discard | to take off to remove | to take off | to remove |
dog,a contemptible person | to go after to follow | to harass | smth of poor quality | domesticated animal of the genus Canis | a contemptible person | D | to go after | to follow |
dog days,the hottest days of summer
Dog Star,Sirius
dog's chance,a very slim chance no chance at all
dog's life,a very unhappy existence
dog-eared,shabby worn from overuse
dog-tired,exhausted very tired | exhausted | very tired
dogbane,Apocynum type of poisonous plant
dogcart,a cart that is pulled by dogs
dogface,infantryman
dogfight,a form of aerial combat; disorderly fighting; a violent fight between dogs
dogged,stubborn unyielding
doggedness,tenaciousness determination | tenaciousness | determination
dogger,boat with two masts
doggish,showy | of a dog relating to dogs | showy
doggo,hiding under cover
doggone,to curse to imprecate | damned | to curse | to imprecate | D | B |
dogleg,sharp curve
dogma,dogmas dogmata
dogmatical,dogmatic of a dogma
dogtooth,canine tooth
dogwood,type of tree
Doha,capital city of Qatar
doit,smth of small value
DOK,'Disk on Key' type of external storage device
dolce,sweetly
doldrums,stagnation inactivity | stagnation | inactivity | Y |
dole,to give charity | charity
dole out,to distribute
doleful,mournful sad
dolerite,type of igneous rock
dolesome,gloomy sorrowful | gloomy | sorrowful
dollar,the currency unit used in the USA; one unit of currency
dollop,a small amount
dolomite,a type of mineral type of sedimentary rock
dolor,painful grief
dolorous,mournful feeling sorrow
dolphinarium,aquarium for dolphins
dolt,stupid person
doltish,stupid
doltishly,stupidly
doltishness,stupidity
domain,taxonomic group above kingdom
domain name,an Intenet address
dome,hemispherical vault or roof | to form a dome
domed,having a dome
domestic,of a nation's internal affairs; occuring inside the country | house servant | domesticated | of home or family | of home or family |
domesticity,family life
domicile,a dwelling place | to reside to live
domiciliate,to reside to live; to house to provide housing for
dominant,prevailing commanding having influence | prevailing | commanding | having influence |
dominate,to prevail to control; to overlook
dominative,governing
dominie,a clergyman | schoolmaster
domino,dominoes
don,courtesy title when addressing a man | university or college teacher | to wear to put on (clothes) | university or college teacher | A | to wear | to put on (clothes) |
don't mention it,you're welcome
Donar,Teutonic god of thunder
done for,destroyed; killed
dongle,electronic plug (e.g. for copy protection)
donkey,stupid or obstinate person | ass (domesticated animal)
donkeywork,hard monotonous work
Donna,an Italian lady
donnybrook,a heated argument a fight
doodle,to draw aimlessly | an aimless drawing | to draw aimlessly
doofus,a stupid person
doohickey,something
doom,disastrous destiny destruction | the Last Judgement | death | condemn to a terrible fate | death | b
doomsayer,smo who predicts calamity
doomsday,the judgment day
door,way of referring to a house (e.g. 'next door') | barrier which can be opened; doorway opening
doorhandle,knob used for opening a door
doorjamb,the vertical portion of the frame onto which a door is secured
doorknob,knob used for opening a door
doorman,doormen
doornail,nail with a large head
doorpost,the vertical portion of the frame onto which a door is secured
doorstep,threshold doorsill
doozy,smth extraordinary impressive or unique | smth extraordinary | impressive or uniquedoozie
dopamine,type of neurotransmitter
dope,to drug | material used for coating | inside information | illegal drug marijuana
dopey,foolish stupid | inattentive | half asleep drugged
dopiness,drowsiness; foolishness
doppelg,nger
Doppler,Christian Johann Doppler Austrian physicist (1803-1853)
Doppler shift,Doppler effect
dorcas gazelle,a small gazelle found in North Africa and Asia
Dorian,relating to the Dorians (Ancient Greek)
Doric,relating to the Dorians (Ancient Greek)
dork,a stupid person
dorky,stupid
dorm,'dormitory'
dorp,a small village
dorsalgia,backache
Dorset,breed of sheep | county in southwestern England
Dorsetshire,Dorset county in southwestern England
dorsum,the dorsal part the posterior part (of a human or animal)
dorsumthe dorsal part the posterior part (of a human or animal),dorsa
Dortmund,city in northwestern Germany | city in northwestern Germany | D |
DOS,type of operating system by Microsoft
dos and don'ts,the rules of behavior what should be done or should be avoided
dosemeter,meter for measuring radiation doses
dosimeter,meter for measuring radiation doses
dosimetry,measurement of radiation doses
doss,to sleep in an improvised bed | an improvised bed | to sleep in an improvised bed |
dossal,ornamental hanging of fabric behind the church altar
dosshouse,a cheap hotel
dossier,a file a written record
Dostoevsky,Fyodor Dostoevsky Russian novelist (1821-1881)
dot#1,to mark with dots | a point | to mark with dots
dot#2,dowry | dowry |
dotterel,a fool
dottily,wackily
dotty,having an unsteady gait | marked with dots | feeble-minded; eccentric
dottyfeeble-minded; eccentric,dottier | dottiest |
dottyhaving an unsteady gait,dottier | dottiest |
dottymarked with dots,dottier | dottiest |
double,deceitful characterized by duplicity | double amount | stand-in; smo who closely resembles another person (esp. an actor) | to bend to fold | twice | to increase or be increased by two | twofold made of two similar parts | twice
double bass,contrabass
double chin,a layer of subcutaneous fat around the neck
double dealing,deceit cheating
double entendre,double meaning
double helix,the double helix structure of the DNA molecule
double take,delayed response
double up,to bend over
double whammy,a combination of negative circumstances events or effects
double-dealer,crook
double-dealing,double-faced deceptive
double-edged,having two blades (of a sword); having two contradictory meanings or possible outcomes
double-faced,having two faces; deceptive
doubleness,duality
doublespeak,language that distorts or reverses the meaning of words; euphemism
doublet,close-fitting jacket (worn by European men) | a pair
doubletalk,language that distorts or reverses the meaning of words; euphemism
doubloon,a coin formerly used in Spain and Latin America
doubt,uncertainty incertitude | to feel uncertainty about
doubtable,doubtful
doubter,smo who doubts
doubtfully,in a doubtful way
doubtfulness,doubt uncertainty
doubtingly,in a doubtful way
douce,quiet sober
douceur,tip bribe
douche,to spray water | to shower | a shower of water | a shower of water
douchebag,an arrogant man a jerk
dough,money | mixture used to make bread and pastry | money |
doughboy,American infantryman
doughnut,donut
doughtily,bravely
doughty,brave without fear
doughtybrave without fear,doughtier | doughtiest |
doughy,resembling dough
dour,severe gloomy | stubborn unyielding
dourness,gloominess
dove,smo who advocates peaceful policies | small pigeon
dove dived,dived
dovecote,dovecot
Dover,city in England
dovetail,to join together by means of a dovetail | to fit together easily | joint formed by interlocking tenons and mortises | to fit together easily
Dow Jones,indicator of stock market of the New York Stock Exchange
dowdiness,shabbiness
dowdy,dowdier dowdiest | dowdier | dowdiest | E |
dower,natural endowment | to furnish with a dower | dowry | the widows estate | natural endowment | E | dowry | E | the widows estate |
dowery,dowry
dowitcher,type of shorebird
down and out,exhausted; impoverished
down the line,in the future
down to,due to attributable to
down#1,depressed | facing or moving towards a lower place | to defeat | cause to go down to drop to shoot down | not functioning | downwards | cause to go down | to drop | to shoot down |
down#2,soft dense hair or feathers
down#3,a hill
down-to-earth,realistic practical
downdraft,a downward air current | a downward air current | E |
downer,depressant
downfall,heavy rain | sudden loss (e.g. of rank wealth etc.)
downhearted,depressed
downheartedness,gloominess depression | gloominess | depression
downhill,slope of a hill
download,to transfer a file from the server to a local computer | transfering a file from the server to a local computer
downmarket,plain inexpensive; intended for people with low incomes
downpour,a heavy rainfall
downrightness,the quality of being straightforward
downscale,to reduce in scale or extent | plain inexpensive intended for people with low incomes; of the lower class | to reduce in scale or extent
downside,the negative aspect
downsize,to reduce in size; to make in a smaller size; to become smaller
downslope,a declivity
downspout,vertical rainwater pipe
downstate,rural; southern (in the USA) | rural; southern (in the USA) |
downswing,downturn
downtrend,downturn slowing of economic activity
downturn,downtrend slowing of economic activity
downwardly,downward
downwards,downward
downy,covered with soft hairs; fluffy
downycovered with soft hairs; fluffy,downier | downiest |
dowry,an endowment | money brought by the bride to the groom
dowse,to search for underground water using a divining rod | to soak to wet
doxy,religious doctrine | a prostitute | a mistress
Doyle,Arthur Conan Doyle a British author; created Sherlock Holmes (1859-1930)
doze,to drowse to sleep lightly | a snooze a light sleep
dozens,many large number
dozenth,twelfth
dozer#1,a bulldozer
dozer#2,smo who dozes
doziness,drowsiness
dozy,drowsy not alert | drowsy | not alertdozier | doziest
Dr.,doctor
drab#1,drabber drabbest | drabber | drabbest |
drabbet,coarse linen fabric
drabble-tail,a slattern
Draco,Athenian lawmaker (7th century BC)
Dracula,novel by Bram Stoker of a vampire who feeds on human blood
dracunculiasis,a disease caused by Guinea worm
draft,to make a draft | compulsory military service | a gulp | a gust a current of air | a written order for payment | the vertical distance between the waterline and the bottom of the hull | to recruit | a sketch a preliminary version
draftsman,draftsmen
drafty,windy exposed to drafts of air
drag,to use a dragnet | act of dragging | resistance to movement (e.g. in air) | smo or smth tiresome | womens clothes worn by a man | an impediment | to pull to haul | womens clothes worn by a man |
drag on,to continue longer time than necessary
drag one's feet,to act very slowly
dragger,smo who drags | trawler a fishing boat using a trawl
draggle,to trail behind
draggle-tail,a slattern
dragman,fisherman who fishes with dragnet
dragnet,coordinated efforts by police forces to track down wanted persons | type of fishnet
dragoman,an interpreter a translator | an interpreter | a translatordragomen | dragomans
dragonhead,type of herb
dragoon,to compel to force; to subjugate | cavalry soldier
drain,be exhausted
drainage basin,an extent of land where water from precipitation drains into a body of water
drake,male duck
Dramamine,drug used to treat motion sickness
dramatic,sensational surprising | relating to drama | relating to drama |
dramatical,relating to drama
dramatically,in a dramatic manner | in a remarkable manner | in a remarkable manner | B |
dramatization,exaggeration | a dramatic representation
dramatize,to exaggerate | to present in a dramatic form | to present in a dramatic formdramatise |
dramaturgy,the dramatic art
dramshop,a barroom
drank,drunk
drapery,business of a draper | loosely hanging fabric used as a curtain | loosely hanging fabric used as a curtain
drastic,extreme forceful | extreme | forceful |
drat,damn it
draughtboard,a chequerboard
draughts,checkers (board game)
draughty,windy exposed to drafts of air
draw,a tie a standoff | a tie | a standoff |
draw a line,to set a limit
draw back,to withdraw
draw fire,to be criticized to attract criticism
draw on,to use as a resource be inspired by; to rely on
draw the line,to set a limit
draw upon,to use as a resource be inspired by; to rely on
drawback,a hindrance a disadvantage; a restitution
drawdown,reduction in the quantity of smth
drawee,a bank (or person) that is ordered by its depositor to pay (e.g. via a check)
drawer,smo who writes a cheque | smo who draws | a sliding box-like storage compartment (in a dresser or desk)
drawers,underpants
drawknife,knife used to shave surfaces
drawler,smo who speaks with a drawl
drawshave,knife used to shave surfaces
drayman,draymen
dread,causing fear dreadful | an object of fear | to be afraid of | great fear apprehension terror | causing fear | dreadful | K | an object of fear | K | great fear | apprehension | terror | K |
dreadful,awful horrible
dreadfully,in a dreadful way terribly | extremely
dreadfulness,awfulness horridness being dreadful
dreadnaught,type of war vessel
dreadnought,type of war vessel | heavy cloth | fearless person
dream,smth wonderful | vision goal | dream of night or day | to experience a dream | dream of night or day | R | to experience a dream | Rdreamed | dreamtdreamed | dreamt
dreamboat,an attractive person
dreamed dreamt,dreamed dreamt
dreamer,smo who is dreaming; fantasizer
dreamful,dreamy
dreamless,without dreams
dreamlike,like a dream unreal
dreamy,dreamier dreamiest
dreary,gloomy drear
dreck,merchandise of inferior quality rubbish | merchandise of inferior quality | rubbish
dredge,to sprinkle (food) with flour or suger to coat before cooking | to scoop from the bottom (e.g. of a river) using a dredge | a power shovel a device for scraping the seabed
dredger,boat for scraping the seabed
dreg,remainder residue
dregs,settlings sediment
drench,to soak to wet completely | smth which drenches (e.g. rain) | a large dose of medicine
drenched,soaked
drencher,smo or smth that drenches
drepanocytosis,sickle cell anemia
Dresden,city in southeastern Germany | city in southeastern Germany | K& |
dress,apply dressing to (a wound) | one-piece garment for women | clothing | to put on clothes; to put clothes on (smo)
dress code,rules of acceptable clothing
dress down,to censure severely or angrily
dressed,having clothes on
dressing-down,harsh scolding a rebuke
dressy,dressier dressiest
drew,drawn
drey,nest of a squirrel
Dreyfus,Alfred Dreyfus French army officer of Jewish descent who was falsely accused for treason (1859-1935)
Dreyfuss,Alfred Dreyfus French army officer of Jewish descent who was falsely accused for treason (1859-1935)
drib,very small quantity
dribble,a small quantity | to trickle to drip | trickle flowing in drops
driblet,a small quantity
drift,passage inside a mine
driftwood,floating or drifting wood
drill,to saw using a drill | training by multiple repetitions practice | to train; to learn by repetition | to bore to make a hole | a tool used for making holes | to train; to learn by repetition | Q | a tool used for making holes |
drillmaster,a strict instructor | military drill instructor
drink to excess,to overdrink
drink(let ~),drankdrunk
drinkable,good for drinking | a drink | good for drinking |
drippy,leaking dripping | overly sentimental | leaking | drippingdrippier | drippiest
drive,to urge forward | to operate or control a vehicle | force into a state or action | force into a state or action | F#drovedriven
drive a bargain,to arrive at an agreement
drivel,nonsense | dribble spilling saliva
driveler,driveller
driver,smo who drives; type of golf club
driveto operate or control a vehicle F#,drovedriven
driveto urge forward F#,drovedriven
driveway,road that leads to a private house
driving,acting with vigor
drizzly,drizzlier drizzliest | drizzlier | drizzliest
droit de seigneurright of the first night 'right of the lord',droit du seigneur
droll,comical amusing
drollcomical amusing,droller | drollest |
drollness,humorousness
drolly,wittily
dromedary,the Arabian camel | the Arabian camel | A |
dromomania,uncontrollable desire to travel
dromond,large single-mast ship
dromophobia,fear of crossing streets
drone,to speak in a monotonous voice | a male bee | an aircraft without a pilot | to buzz to make a dull sound | a droning sound | to buzz | to make a dull sound |
droningly,monotonously
droopy,droopier droopiest
drop,small quantity of liquid | cause to fall | a fall a sudden decrease a decline | to let (smth) fall; to fall; to omit to leave out
drop by,to make a short and casual visit
drop down,to fall to drop
drop in,to come by to visit
drop the ball,to make a serious mistake
drop-dead,amazing very attractive
drop-off,a decrease; a noticeable deterioration | a steep slope
drophead,a car with a folding roof
droplet,a small drop
dropout,student who quits school
drosophila,Drosophila melanogaster type of fruit fly
drought,thirst | lack of rain prolonged rain or water shortage
drove,driven | a crowd | to drive the livestock | a chisel with broad edge | herd flock group of animals | to drive the livestock | herd | flock | group of animals
drown,to be suffocated by submerging in water | to flood to inundate | to suffocate by submerging in water | to get rid of | to flood | to inundate |
drowse,to be sleepy | sleepiness
drowsiness,sleepiness
drowsy,sleepy tending to fall asleep
drub,to defeat | to beat to hit repeatedly
drudge,to work hard to toil | a servant a person who works hard | to work hard | to toil |
drudgery,hard monotonous work
drudgingly,laboriously
drug,to administer a drug to | a narcotic | a medicine
drug abuse,the use of drugs in a self-destructive manner
drug trafficker,drug dealer
drugget,rug made of a coarse fabric
drugstore,a pharmacy a chemist's shop | a pharmacy | a chemist's shop |
Druid,priest or soothsayer in the ancient religion of the Celts
drum major,the leader of a marching band
drum out,to dismiss from a position or office
drum up,to gather
drumbeat,vehement and persistent advocacy of a cause | the sound made by beating a drum | the sound made by beating a drum |
drumfire,cannonade intense artillery fire
drumhead,leather of a drum | leather of a drum | C |
drumlin,a mound of glacial drift
drummer,a travelling salesman
drumstick,leg of a cooked chicken | a stick used for drumming
drunk,drunkard | (make ~) | period of drinking | intoxicated under the influence of alcohol
drunk as a lord,very drunk
drunken,drunk showing effects of alcohol drinking
drunkenness,state of being drunk
drupe,fruit with a single seed
Druze,a member of the Druze community | a a monotheistic religious community which emerged from the Ismailism school of Shia Islam
dry,not sweet (about wine) sec | to make dry; to become dry | (make ~) | not wet without water | not wet | without waterdrier | driest |
dry measure,measuring unit for dry commodities
dry out,to become dry; to make dry
dryad,wood nymph
dryer,an appliance used for drying | an appliance used for drying |
dryly,drily
drypoint,dry point engraving
DSL,digital subscriber line
DSP,digital signal processor
DST,daylight saving time
du jour,prepared for a given day | fashionable current most recent
duad,pair
dual,double | dual form
dub,to nickname to name | to invest with a title | to provide (a movie) with a foreign soundtrack | unskilful person | to invest with a title |
Dubai,"one of the seven emirates in the United Arab Emirates; port city in the United Arab Emirates | one of the seven emirates in the United Arab Emirates; port city in the United Arab Emirates | ""F"
dubbed,provided with a foreign soundtrack (a movie) | nicknamed
dubbing,providing (a movie) with a foreign soundtrack
dubiety,doubt doubtfulness
dubiousness,doubt uncertainty
Dublin,capital of Ireland
Dubnium,chemical element (Db)
ducat,gold coin formerly used in European countries
duchy,dukedom
duck,to stoop to dodge | to submerge | to avoid (a duty a questions etc.) | broad-billed swimming bird
duckbill,platypus
duct tape,wide silvery adhesive tape intended to seal joints in sheet metal duct work
ducting,system of ducts
ductule,a small duct
ductulus,a small duct
ductus,a duct
ductusa duct,ducti
ductwork,system of ducts
dud,a bomb that failed to detonate | a loser smo or smth which fails | a failure | a loser | smo or smth which fails | C |
dudgeon,indignation rage | indignation | rage
duds,clothing
due,directly (of the compass) | smth which is deserved or owed; a person's right; a payment | appropriate; required by a certain time; required as a legal obligation
due date,payment date date of some expected event
due east,east direction corresponding to the eastward cardinal compass point
due to,because of; caused by
duel,to fight a duel | a struggle a contest | prearranged fight between two people carrying deadly weapons | a struggle | a contest | b | prearranged fight between two people carrying deadly weapons | b
dueled duelled,dueled duelled
duelo,duel the rules of dueling
duelto fight a duel bdueled duelleddueled duelled,dueling | duelling
duffel,coarse heavy fabric
duffel bag,a kit bag
duffer,a peddler
duffle,coarse heavy fabric
duffle bag,a duffel bag
dug,dug | breast | a nipple or udder | a nipple or udder
dugong,a large marine mammal
dugout,canoe of a tree trunk
duiker,a cormorant | type of small African antelope
Duisburg,city in Germany
duke,type of cherry | a fist (usu. in pl. 'dukes') | to fight | a nobleman with the highest hereditary title | a fist (usu. in pl. 'dukes') | b
duke it out,to fight it out to compete against smo
dukedom,duchy
dulcet,(of a sound) pleasant pleasing to hear sweet
dulcify,to sweeten
dull,to make dull | lifeless inactive; not interesting; not bright not intelligent | lifeless | inactive; not interesting; not bright | not intelligentduller | dullest | C |
dumb,dumber dumbest
dumbbell,a stupid person | an exercising weight
dumbfound,to astound to amaze
dumbfounded,bewildered amazed
dumbstricken,bewildered amazed
dumbwaiter,small elevator (for food or other goods)
dummy,person-like figure | fake | smo who does not talk | smo who does not talk |
dummy up,to shut up
dump,to throw away to discard | heap of garbage | a dreary place | a wasteyard a garbage dump
dump on,to criticize harshly
dumpiness,squattiness
dumping,flooding a market
dumpling,short and chubby person
dumpy,dumpier dumpiest | dumpier | dumpiest
dun#1,a creditor; a collector | to demand an overdue payment | a demand for payment | to demand an overdue payment |
dun#2,dull grayish brown; dark and gloomy
dunce,stupid person
duncical,stupid foolish
duncish,stupid foolish
dunderhead,a stupid person
dung,to fertilize | manure fertilizer
dungaree,coarse cotton fabric
dungarees,trousers made of denim fabric
dungeon,an underground prison cell; a vault | main tower of a castle | main tower of a castledonjon
dunnage,baggage
duo,musical composition played by two | pair
duo-,having two
duodecimo,duodecimos
duodenal,of the duodenum
duologue,a dialog
duomo,a cathedral
dupe,a fool | to fool to deceive
duplicable,duplicatable
duplicatable,duplicatable
duplicity,"state of being twofold | deceptiveness double-dealing | state of being twofold | ""Q | deceptiveness | double-dealing | ""Q"
durable,lasting can withstand wear sturdy
durables,durable goods
durably,stably steadily
duramen,central wood of a tree
duration,continuance the property of continuing in time | period of time
durra,sorghum
durum wheat,wheat with hard dark-colored kernels used for bread and pasta
durum wheatwheat with hard dark-colored kernels used for bread and pasta,durum
duskiness,darkness dimness | darkness | dimness
dusky,duskier duskiest | duskier | duskiest
Dusseldorf,city in western Germany
Dusseldorfcity in western GermanyD,sseldorf | b |
dust-up,a fight
dustman,dustmen
dustup,a quarrel a fight
dusty,dustier dustiest | dustier | dustiest
dutch,one's wife | anger | anger |
Dutch uncle,a counselor who admonishes frankly and sternly
Dutchman,Dutchmen
duteous,dutiful obedient | dutiful | obedient
duteously,obediently
duteousness,obedience
dutiable,subject to tax taxable
duty,tax payment levied for export import etc. | an obligation
duty bound,compelled by a sense of duty
duvet,soft quilt usually filled with the down of the eider
duvet day,an allowance of time off given by some employers
duvetyn,type of soft fabric
Dvorak,Antonin Dvorak Czech composer (1841-1904)
dwarf,dwarfs dwarves
dweeb,a dumb person; a nerd
dwell,to live to reside
dwell on,to think or talk on (a subject) at length
dwelling,living | residence house
dwelt dwelled,dwelt dwelled
dwindle,cause to dwindle | to become less gradually
dyadic,of a dyad of two | of a dyad | of two
dyarchy,government of two rulers
dyed-in-the-wool,faithful staunch | faithful | staunch
dying to,eagerly desirous
dyke,to build a dyke | a drainage channel | barrier constructed to obstruct the flow of water
dynamical,dynamic
dynamics,the driving forces | a branch of mechanics | a branch of mechanics |
dynamism,vigor activeness | vigor | activeness |
dynamite,to blow up using dynamite | type of high explosive | type of high explosive |
dynamize,to intensify
dynamized,intensified
dynamo,a very active person | electrical generator
dyne,a force unit
dyscalculia,impaired ability in mathematics
dyschromatopsia,color blindness
dysesthesia,symptom of pain or unpleasant sensations
dysfunctional,of dysfunction
dysgerminoma,germ cell tumor
dysgraphia,impaired ability in learning to write
dyskinesia,impairment in performing muscle movements
dyslalia,speech impairment due to defects in speech organs
dyslectic,suffering from dyslexia
dyslexia,impaired ability to read
dyslexic,suffering from dyslexia
dyslogia,communication disorder
dysmegalopsia,visual disorder of size perception
dysmenorrhea,painful menstruation
dysmenorrheal,relating to dysmenorrhea
dysmetropsia,visual disorder of size perception
dysmimia,inability to use gestures
dysmnesia,impaired memory
dysmorphia,body dysmorphic disorder
dysmorphism,anatomic malformation
dysmorphophobia,dysmorphia body dysmorphic disorder
dysorthography,writing disability
dyspareunia,painful sexual intercourse
dyspepsia,indigestion
dyspeptic,morose atrabilious | suffering from dyspepsia or indigestion
dysphasia,impaired ability to speak | speech impairment | speech impairment
dysphonia,speech disorder
dysphoria,state of discontent and restlessness
dysphrenia,mental disorder
dysplasia,abnormal development
dyspnea,difficult respiration | difficult respirationdyspnoea
dysprosium,metallic element (Dy)
dysprosodia,impairment in producing tonal fluctuations in speech
dysrhythmia,rhythm disturbance
dyssynergia,inability to coordinate muscle movements
dysthymia,tendency to depression
dystonia,lack of muscle tone
dystopia,anti-utopia imaginery condition of society in which life is miserable
dystopian,relating to or resembling a dystopia (the opposite of utopia)
dystrophia,degeneration condition
E$DE,E-2F
E$DNDQ,EECFF
"E,FHF",E9*HG
e-commerce,electronic commerce
e-mail,electronic mail
e-mailelectronic mail,email
E. coli,Escherichia coli type of bacterium present in the intestinal tract
e.g.,for example 'exempli gratia' | for example | 'exempli gratia'
each,each one | to each one | every | everyR
eaglet,young eagle
eagre,high wave caused by tidal
ear,seed-bearing head cereal plant | projecting handle | sense of hearing | organ of hearing | projecting handleR
earache,pain of the ear
eardrop,an earring
earful,scolding | gossip
earing,line fastened to a sail's corner
earldom,territory or status of an earl
earliness,being early
early,earlier earliest | earlier | earliestL
