headword,pos,definition,examples,synonyms
exceptional,adjective,far beyond what is usual in magnitude or degree [adj.all] | surpassing what is common or usual or expected [adj.all] | deviating widely from a norm of physical or mental ability [adj.all],"a night of exceeding darkness | an exceptional memory | olympian efforts to save the city from bankruptcy | the young Mozart's prodigious talents | ""a night of exceeding darkness""","exceeding, olympian, prodigious, surpassing, especial(a), particular(a), special, exceptional(a)"
excess,adjective,"more than is needed, desired, or required [adj.all]",trying to lose excess weight | found some extra change lying on the dresser | yet another book on heraldry might be thought redundant | skills made redundant by technological advance | sleeping in the spare room,"extra, redundant, spare, supererogatory, superfluous, supernumerary, surplus"
excessive,adjective,"beyond normal limits [adj.all] | unrestrained, especially with regard to feelings [adj.all]","excessive charges | a book of inordinate length | his dress stops just short of undue elegance | unreasonable demands | ""excessive charges""","inordinate, undue, unreasonable, extravagant, exuberant, overweening"
exchangeable,adjective,suitable to be exchanged [adj.all] | capable of being exchanged for or replaced by something of equal value [adj.all] | capable of replacing or changing places with something else [adj.all],"convertible securities | ""convertible securities"" | interchangeable electric outlets | interchangeable parts | permitting mutual substitution without loss of function or suitability","convertible, interchangeable, similar, standardized, standardised"
exchanged,adjective,changed for (replaced by) something different [adj.all],,
excitable,adjective,easily excited [adj.all] | capable of responding to stimuli [adj.all],,irritable
excitant,adjective,(of drugs e.g.) able to excite or stimulate [adj.all],,"excitative, excitatory"
excitative,adjective,(of drugs e.g.) able to excite or stimulate [adj.all],,"excitant, excitatory"
excitatory,adjective,(of drugs e.g.) able to excite or stimulate [adj.all],,"excitant, excitative"
excited,adjective,(of persons) excessively affected by emotion [adj.all] | in an aroused state [adj.all] | marked by uncontrolled excitement or emotion [adj.all] | (of e.g. a molecule) made reactive or more reactive [adj.all],"he would become emotional over nothing at all | she was worked up about all the noise | ""he would become emotional over nothing at all"" | ""she was worked up about all the noise"" | a crowd of delirious baseball fans","aroused, emotional, worked up, delirious, frantic, mad, unrestrained, activated"
exciting,adjective,creating or arousing excitement [adj.all] | stimulating interest and discussion [adj.all],"an exciting account of her trip | ""an exciting account of her trip"" | an exciting novel | ""an exciting novel""",
exclamatory,adjective,sudden and strong [adj.all],"an emphatic no | ""an emphatic no""",emphatic
exclusive,adjective,not divided or shared with others [adj.all] | excluding much or all [adj.all] | not divided among or brought to bear on more than one object or objective [adj.all],"they have exclusive use of the machine | sole rights of publication | ""they have exclusive use of the machine"" | ""sole rights of publication"" | exclusive clubs","sole(a), single(a), undivided"
excogitative,adjective,concerned with excogitating or having the power of excogitation [adj.all],,
excrescent,adjective,forming an outgrowth (usually an excessive outgrowth) [adj.pert],,
excretory,adjective,of or relating to the process of excretion [adj.pert],,
excruciating,adjective,extremely painful [adj.all],,"agonizing, agonising, harrowing, torturing, torturous, torturesome"
exculpated,adjective,freed from any question of guilt [adj.all],"is absolved from all blame | was now clear of the charge of cowardice | his official honor is vindicated | ""is absolved from all blame"" | ""was now clear of the charge of cowardice""","absolved, clear, cleared, exonerated, vindicated"
exculpatory,adjective,clearing of guilt or blame [adj.all],,
excursive,adjective,(of e.g. speech and writing) tending to depart from the main point or cover a wide range of subjects [adj.all],"amusingly digressive with satirical thrusts at women's fashions among other things | a rambling discursive book | his excursive remarks | a rambling speech about this and that | ""amusingly digressive with satirical thrusts at women's fashions among other things""","digressive, discursive, rambling"
excusable,adjective,capable of being overlooked [adj.all] | easily excused or forgiven [adj.all],"a venial error | ""a venial error""","forgivable, venial"
excusatory,adjective,offering or expressing apology [adj.all],"an apologetic note | an apologetic manner | ""an apologetic note"" | ""an apologetic manner""",apologetic
excused,adjective,granted exemption [adj.all],"one of the excused jurors planned to write a book | ""one of the excused jurors planned to write a book""",
execrable,adjective,of very poor quality or condition [adj.all] | unequivocally detestable [adj.all] | deserving a curse [adj.all],"deplorable housing conditions in the inner city | woeful treatment of the accused | woeful errors of judgment | ""deplorable housing conditions in the inner city"" | ""woeful treatment of the accused""","deplorable, miserable, woeful, wretched, abominable, detestable, odious, damnable"
executable,adjective,capable of being done with means at hand and circumstances as they are [adj.all],,"feasible, practicable, viable, workable"
executed,adjective,put to death as punishment [adj.all],"claimed the body of the executed traitor | ""claimed the body of the executed traitor""",
executive,adjective,having the function of carrying out plans or orders etc. [adj.pert],"the executive branch | ""the executive branch""",
exegetic,adjective,relating to exegesis [adj.pert],,exegetical
exegetical,adjective,relating to exegesis [adj.pert],,exegetic
exemplary,adjective,worthy of imitation [adj.all] | being or serving as an illustration of a type [adj.all] | serving to warn [adj.all],"exemplary behavior | model citizens | ""exemplary behavior"" | ""model citizens"" | the free discussion that is emblematic of democracy","model(a), emblematic, typic, admonitory, cautionary, monitory, warning(a)"
exemplifying,adjective,clarifying by use of examples [adj.all],,illustrative
exempt,adjective,(of persons) freed from or not subject to an obligation or liability (as e.g. taxes) to which others or other things are subject [adj.all] | (of goods or funds) not subject to taxation [adj.all],"a beauty somehow exempt from the aging process | exempt from jury duty | only the very poorest citizens should be exempt from income taxes | ""a beauty somehow exempt from the aging process"" | ""exempt from jury duty""",nontaxable
exergonic,adjective,(biochemistry) of a process accompanied by the release of energy [adj.all],"diffusion is an exergonic process | ""diffusion is an exergonic process""",
exhausted,adjective,"drained of energy or effectiveness [adj.all] | depleted of energy, force, or strength [adj.all] | drained physically [adj.all]",the day's shopping left her exhausted | he went to bed dog-tired | was fagged and sweaty | the trembling of his played out limbs | felt completely washed-out,"dog-tired, fagged, fatigued, played out, spent, washed-out, worn-out(a), worn out(p)"
exhaustible,adjective,capable of being used up [adj.all] | capable of being used up [adj.all],"our exhaustible reserves of fossil fuel | capable of being exhausted | ""our exhaustible reserves of fossil fuel""",
exhausting,adjective,having a debilitating effect [adj.all] | producing exhaustion [adj.all],"an exhausting job in the hot sun | ""an exhausting job in the hot sun"" | an exhausting march | the visit was especially wearing | ""an exhausting march""","draining, tiring, wearing, wearying"
exhaustive,adjective,performed comprehensively and completely [adj.all],"an exhaustive study | made a thorough search | thoroughgoing research | ""an exhaustive study"" | ""made a thorough search""","thorough, thoroughgoing"
exhibitionistic,adjective,compulsively attracting attention to yourself especially by public exposure or exaggerated behavior [adj.all],,
exhilarated,adjective,made joyful [adj.all],"the sun and the wind on his back made him feel exhilarated--happy to be alive | ""the sun and the wind on his back made him feel exhilarated--happy to be alive""",gladdened
exhilarating,adjective,making lively and cheerful [adj.all] | making lively and joyful [adj.all],"the exhilarating effect of mountain air | ""the exhilarating effect of mountain air""","stimulating, elating"
exhortative,adjective,giving strong encouragement [adj.all],,"exhortatory, hortative, hortatory"
exhortatory,adjective,giving strong encouragement [adj.all],,"exhortative, hortative, hortatory"
exigent,adjective,demanding attention [adj.all] | requiring precise accuracy [adj.all],clamant needs | a crying need | regarded literary questions as exigent and momentous | insistent hunger | an instant need,"clamant, crying, insistent, instant, exacting"
exiguous,adjective,extremely scanty [adj.all],"an exiguous budget | ""an exiguous budget""",
exilic,adjective,of or relating to a period of exile (especially the exile of the Jews known as the Babylonian Captivity) [adj.pert],,
existent,adjective,having existence or being or actuality [adj.all] | being or occurring in fact or actuality [adj.all] | presently existing in fact and not merely potential or possible [adj.all],"an attempt to refine the existent machinery to make it more efficient | much of the beluga caviar existing in the world is found in the Soviet Union and Iran | ""an attempt to refine the existent machinery to make it more efficient"" | ""much of the beluga caviar existing in the world is found in the Soviet Union and Iran"" | real objects","existing, real, actual"
existential,adjective,derived from experience or the experience of existence [adj.all] | of or as conceived by existentialism [adj.pert] | relating to or dealing with existence (especially with human existence) [adj.pert],"the rich experiential content of the teachings of the older philosophers | formal logicians are not concerned with existential matters | ""the rich experiential content of the teachings of the older philosophers""- Benjamin Farrington | ""formal logicians are not concerned with existential matters""- John Dewey | an existential moment of choice",experiential
existentialist,adjective,relating to or involving existentialism [adj.pert],"existentialist movement | existentialist philosophy | the existentialist character of his ideas | ""existentialist movement"" | ""existentialist philosophy""",
existing,adjective,presently existing [adj.all] | having existence or being or actuality [adj.all] | existing in something specified [adj.all],"the existing system | ""the existing system"" | an attempt to refine the existent machinery to make it more efficient | much of the beluga caviar existing in the world is found in the Soviet Union and Iran | ""an attempt to refine the existent machinery to make it more efficient""",existent
exocentric,adjective,not fulfilling the same grammatical role of any of its constituents [adj.all],"when `until last Easter' serves as an adverb it is an exocentric construction | ""when `until last Easter' serves as an adverb it is an exocentric construction""",
exocrine,adjective,of or relating to exocrine glands or their secretions [adj.pert],,
exodontic,adjective,of or relating to or involving exodontics [adj.pert],"exodontic surgeon | ""exodontic surgeon""",
exoergic,adjective,(of a nuclear reaction) occurring with evolution or releasing of energy [adj.all],,energy-releasing
exogamic,adjective,characterized by or fit for fertilization by a flower that is not closely related [adj.all] | pertaining to or characterized by the custom of marrying only outside the limits of a clan or tribe [adj.all],,exogamous
exogamous,adjective,characterized by or fit for fertilization by a flower that is not closely related [adj.all] | pertaining to or characterized by the custom of marrying only outside the limits of a clan or tribe [adj.all],,exogamic
exogenic,adjective,derived or originating externally [adj.all],,exogenous
exogenous,adjective,derived or originating externally [adj.all],,exogenic
exonerated,adjective,freed from any question of guilt [adj.all],"is absolved from all blame | was now clear of the charge of cowardice | his official honor is vindicated | ""is absolved from all blame"" | ""was now clear of the charge of cowardice""","absolved, clear, cleared, exculpated, vindicated"
exonerative,adjective,providing absolution [adj.all],,"absolvitory, forgiving"
exorbitant,adjective,greatly exceeding bounds of reason or moderation [adj.all],exorbitant rent | extortionate prices | spends an outrageous amount on entertainment | usurious interest rate | unconscionable spending,"extortionate, outrageous, steep, unconscionable, usurious"
exoteric,adjective,suitable for the general public [adj.all],"writings of an exoteric nature | ""writings of an exoteric nature""",
exothermal,adjective,(of a chemical reaction or compound) occurring or formed with the liberation of heat [adj.all],,"exothermic, heat-releasing"
exothermic,adjective,(of a chemical reaction or compound) occurring or formed with the liberation of heat [adj.all],,"exothermal, heat-releasing"
exotic,adjective,being or from or characteristic of another place or part of the world [adj.all] | strikingly strange or unusual [adj.all],"alien customs | exotic plants in a greenhouse | exotic cuisine | ""alien customs"" | ""exotic plants in a greenhouse""",alien
expandable,adjective,able to expand or be expanded [adj.all] | (of gases) capable of expansion [adj.all],,"expandible, expansible, expansile"
expanded,adjective,increased in extent or size or bulk or scope [adj.all],,
expandible,adjective,able to expand or be expanded [adj.all] | (of gases) capable of expansion [adj.all],,"expandable, expansible, expansile"
expansible,adjective,able to expand or be expanded [adj.all] | (of gases) capable of expansion [adj.all],,"expandable, expandible, expansile"
expansile,adjective,(of gases) capable of expansion [adj.all],,"expandable, expandible, expansible"
expansionist,adjective,of or involving or guided by expansionism [adj.pert],,
expansive,adjective,able or tending to expand or characterized by expansion [adj.all] | of behavior that is impressive and ambitious in scale or scope [adj.all] | marked by exaggerated feelings of euphoria and delusions of grandeur [adj.all] | friendly and open and willing to talk [adj.all],"Expansive materials | the expansive force of fire | ""Expansive materials"" | ""the expansive force of fire"" | an expansive lifestyle","grand, heroic, talkative"
expectable,adjective,to be expected [adj.all],"differences of opinion are quite expectable given the present information | ""differences of opinion are quite expectable given the present information""",
expectant,adjective,marked by eager anticipation [adj.all] | in an advanced stage of pregnancy [adj.all],"an expectant hush | ""an expectant hush"" | was big with child | was great with child | ""was big with child""","anticipant, anticipative, big(p), enceinte, gravid, great(p), large(p), heavy(p), with child(p)"
expected,adjective,considered likely or probable to happen or arrive [adj.all],"prepared for the expected attack | ""prepared for the expected attack""",
expedient,adjective,serving to promote your interest [adj.all] | appropriate to a purpose [adj.all],"was merciful only when mercy was expedient | ""was merciful only when mercy was expedient"" | in the circumstances it was expedient to express loyalty | practical | ""in the circumstances it was expedient to express loyalty""",
expeditionary,adjective,(used of military forces) designed for military operations abroad [adj.all],"the French expeditionary force in Indochina | ""the French expeditionary force in Indochina""",
expeditious,adjective,marked by speed and efficiency [adj.all],,
expendable,adjective,suitable to be expended [adj.all] | (used of funds) remaining after taxes [adj.all],"spendable income | ""spendable income""",spendable
expensive,adjective,high in price or charging high prices [adj.all],"expensive clothes | an expensive shop | ""expensive clothes"" | ""an expensive shop""",
experienced,adjective,having experience [adj.all],having knowledge or skill from observation or participation,experient
experient,adjective,having experience [adj.all],having knowledge or skill from observation or participation,experienced
experiential,adjective,relating to or resulting from experience [adj.pert] | derived from experience or the experience of existence [adj.all],"a personal, experiential reality | ""a personal, experiential reality"" | the rich experiential content of the teachings of the older philosophers | formal logicians are not concerned with existential matters | ""the rich experiential content of the teachings of the older philosophers""- Benjamin Farrington",existential
experimental,adjective,relating to or based on experiment [adj.pert] | relying on observation or experiment [adj.all] | of the nature of or undergoing an experiment [adj.all],"experimental physics | ""experimental physics"" | experimental results that supported the hypothesis | ""experimental results that supported the hypothesis"" | an experimental drug","data-based, observational"
expert,adjective,having or showing knowledge and skill and aptitude [adj.all] | of or relating to or requiring special knowledge to be understood [adj.all],adept in handicrafts | an adept juggler | an expert job | a good mechanic | a practiced marksman,"adept, good, practiced, proficient, skillful, skilful, technical"
expiable,adjective,capable of being atoned for [adj.all],,
expiative,adjective,having power to atone for or offered by way of expiation or propitiation [adj.pert],"expiatory (or propitiatory) sacrifice | ""expiatory (or propitiatory) sacrifice""","expiatory, propitiatory"
expiatory,adjective,having power to atone for or offered by way of expiation or propitiation [adj.pert],"expiatory (or propitiatory) sacrifice | ""expiatory (or propitiatory) sacrifice""","expiative, propitiatory"
expiratory,adjective,of or relating to the breathing out phase of respiration [adj.pert],,
expired,adjective,having come to an end or become void after passage of a period of time [adj.all],"an expired passport | caught driving with an expired license | ""an expired passport"" | ""caught driving with an expired license""",
explainable,adjective,capable of being understood [adj.all],"explainable phenomena | ""explainable phenomena""",interpretable
explanatory,adjective,serving or intended to explain or make clear [adj.all],"explanatory notes | an explanatory paragraph | ""explanatory notes"" | ""an explanatory paragraph""",
explicable,adjective,capable of being explicated or accounted for [adj.all],"explicable behavior | ""explicable behavior""",
explicit,adjective,precisely and clearly expressed or readily observable [adj.all] | in accordance with fact or the primary meaning of a term [adj.all],"explicit instructions | she made her wishes explicit | explicit sexual scenes | leaving nothing to implication | ""explicit instructions""","expressed, denotative"
exploded,adjective,showing the parts of something separated but in positions that show their correct relation to one another [adj.all],"the manufacturer provided an exploded view of the apparatus | ""the manufacturer provided an exploded view of the apparatus""",
exploitative,adjective,tending to exploit or make use of [adj.all],,"exploitatory, exploitive"
exploitatory,adjective,tending to exploit or make use of [adj.all],,"exploitative, exploitive"
exploited,adjective,developed or used to greatest advantage [adj.all] | of persons [adj.all],"after going out of his way to help his friend get the job he felt not appreciated but used | taken advantage of | ""after going out of his way to help his friend get the job he felt not appreciated but used""","ill-used, put-upon, used, victimized, victimised"
exploitive,adjective,tending to exploit or make use of [adj.all],,"exploitative, exploitatory"
explorative,adjective,serving in or intended for exploration or discovery [adj.all],"an exploratory operation | exploratory reconnaissance | digging an exploratory well in the Gulf of Mexico | exploratory talks between diplomats | ""an exploratory operation""",exploratory
exploratory,adjective,serving in or intended for exploration or discovery [adj.all],"an exploratory operation | exploratory reconnaissance | digging an exploratory well in the Gulf of Mexico | exploratory talks between diplomats | ""an exploratory operation""",explorative
explosive,adjective,serving to explode or characterized by explosion or sudden outburst [adj.all] | liable to lead to sudden change or violence [adj.all] | sudden and loud [adj.all],an explosive device | explosive gas | explosive force | explosive violence | an explosive temper,volatile
exponential,adjective,of or involving exponents [adj.pert],"exponential growth | ""exponential growth""",
exportable,adjective,suitable for export [adj.all],"exportable cultural achievements | ""exportable cultural achievements""",
exposed,adjective,with no protection or shield [adj.all] | not covered with clothing [adj.all],"the exposed northeast frontier | open to the weather | an open wound | ""the exposed northeast frontier"" | ""open to the weather""","open, uncovered"
expositive,adjective,serving to expound or set forth [adj.all],"clean expository writing | ""clean expository writing""",expository
expository,adjective,serving to expound or set forth [adj.all],"clean expository writing | ""clean expository writing""",expositive
express,adjective,not tacit or implied [adj.all] | without unnecessary stops [adj.all],"her express wish | ""her express wish"" | an express train | an express shipment | ""an express train""",
expressed,adjective,communicated in words [adj.all] | precisely and clearly expressed or readily observable [adj.all],"frequently uttered sentiments | ""frequently uttered sentiments"" | explicit instructions | she made her wishes explicit | explicit sexual scenes","uttered, verbalized, verbalised, explicit"
expressible,adjective,capable of being expressed [adj.all],"an expressible emotion | ""an expressible emotion""",
expressionist,adjective,of or relating to expressionism [adj.pert],"expressionist art | ""expressionist art""",expressionistic
expressionistic,adjective,of or relating to expressionism [adj.pert],"expressionist art | ""expressionist art""",expressionist
expressionless,adjective,deliberately impassive in manner [adj.all],"deadpan humor | his face remained expressionless as the verdict was read | ""deadpan humor"" | ""his face remained expressionless as the verdict was read""","deadpan, impassive, poker-faced, unexpressive"
expressive,adjective,characterized by expression [adj.all],"a very expressive face | ""a very expressive face""",
expurgated,adjective,having material deleted [adj.all],"at that time even Shakespeare was considered dangerous except in the expurgated versions | ""at that time even Shakespeare was considered dangerous except in the expurgated versions""",
exquisite,adjective,intense or sharp [adj.all] | lavishly elegant and refined [adj.all] | delicately beautiful [adj.all] | of extreme beauty [adj.all],"suffered exquisite pain | felt exquisite pleasure | ""suffered exquisite pain"" | ""felt exquisite pleasure"" | a dainty teacup","keen, recherche, dainty"
exsanguine,adjective,destitute of blood or apparently so [adj.all],"the bloodless carcass of my Hector sold | ""the bloodless carcass of my Hector sold""- John Dryden","bloodless, exsanguinous"
exsanguinous,adjective,destitute of blood or apparently so [adj.all],"the bloodless carcass of my Hector sold | ""the bloodless carcass of my Hector sold""- John Dryden","bloodless, exsanguine"
extant,adjective,still in existence [adj.all],"extant manuscripts | specimens of graphic art found among extant barbaric folk | not extinct or destroyed or lost | ""extant manuscripts"" | ""specimens of graphic art found among extant barbaric folk""- Edward Clodd",
extemporaneous,adjective,with little or no preparation or forethought [adj.all],his ad-lib comments showed poor judgment | an extemporaneous piano recital | an extemporary lecture | an extempore skit | an impromptu speech,"ad-lib, extemporary, extempore, impromptu, offhand, offhanded, off-the-cuff, unrehearsed"
extemporary,adjective,with little or no preparation or forethought [adj.all],his ad-lib comments showed poor judgment | an extemporaneous piano recital | an extemporary lecture | an extempore skit | an impromptu speech,"ad-lib, extemporaneous, extempore, impromptu, offhand, offhanded, off-the-cuff, unrehearsed"
extempore,adjective,with little or no preparation or forethought [adj.all],his ad-lib comments showed poor judgment | an extemporaneous piano recital | an extemporary lecture | an extempore skit | an impromptu speech,"ad-lib, extemporaneous, extemporary, impromptu, offhand, offhanded, off-the-cuff, unrehearsed"
extendable,adjective,capable of being lengthened [adj.all],,extendible
extended,adjective,relatively long in duration [adj.all] | fully extended or stretched forth [adj.all] | drawn out or made longer spatially [adj.all] | beyond the literal or primary sense [adj.all] | large in spatial extent or range or scope or quantity [adj.all],a drawn-out argument | an extended discussion | a lengthy visit from her mother-in-law | a prolonged and bitter struggle | protracted negotiations,"drawn-out, lengthy, prolonged, protracted, elongated, lengthened, extensive"
extendible,adjective,capable of being lengthened [adj.all],,extendable
extensible,adjective,capable of being protruded or stretched or opened out [adj.all],"an extensile tongue | an extensible measuring rule | ""an extensile tongue"" | ""an extensible measuring rule""",extensile
extensile,adjective,capable of being protruded or stretched or opened out [adj.all],"an extensile tongue | an extensible measuring rule | ""an extensile tongue"" | ""an extensible measuring rule""",extensible
extensional,adjective,defining a word by listing the class of entities to which the word correctly applies [adj.all],,
extensive,adjective,large in spatial extent or range or scope or quantity [adj.all] | of agriculture [adj.all],"an extensive Roman settlement in northwest England | extended farm lands | surgeons with extended experience | they suffered extensive damage | ""an extensive Roman settlement in northwest England""",extended
extenuating,adjective,partially excusing or justifying [adj.all],"extenuating circumstances | ""extenuating circumstances""",
exterior,adjective,situated in or suitable for the outdoors or outside of a building [adj.all],"an exterior scene | exterior grade plywood | exterior paints | ""an exterior scene"" | ""exterior grade plywood""",
exterminable,adjective,capable of being totally destroyed or wiped out [adj.all],,extirpable
exterminated,adjective,destroyed completely [adj.all],,"annihilated, wiped out(p)"
external,adjective,happening or arising or located outside or beyond some limits or especially surface [adj.all] | coming from the outside [adj.all] | from or between other countries [adj.all] | purely outward or superficial [adj.all],"the external auditory canal | external pressures | ""the external auditory canal"" | ""external pressures"" | extraneous light in the camera spoiled the photograph","extraneous, outside, international, outside(a)"
exteroceptive,adjective,of or relating to exteroception [adj.pert],,
exterritorial,adjective,outside territorial limits or jurisdiction [adj.all],"fishing in extraterritorial waters | enjoying exterritorial privileges and rights | ""fishing in extraterritorial waters"" | ""enjoying exterritorial privileges and rights""",extraterritorial
extinct,adjective,no longer in existence [adj.all] | (of e.g. volcanos) permanently inactive [adj.all] | being out or having grown cold [adj.all],"an extinct species of fish | an extinct royal family | extinct laws and customs | lost or especially having died out leaving no living representatives | ""an extinct species of fish""","nonextant, out(p)"
extinguishable,adjective,capable of being extinguished or killed [adj.all],"an extinguishable fire | hope too is extinguishable | ""an extinguishable fire"" | ""hope too is extinguishable""",
extinguished,adjective,of a conditioned response [adj.all],caused to die out because of the absence or withdrawal of reinforcement,
extirpable,adjective,capable of being totally destroyed or wiped out [adj.all],,exterminable
extortionate,adjective,greatly exceeding bounds of reason or moderation [adj.all],exorbitant rent | extortionate prices | spends an outrageous amount on entertainment | usurious interest rate | unconscionable spending,"exorbitant, outrageous, steep, unconscionable, usurious"
extra,adjective,"more than is needed, desired, or required [adj.all] | added to a regular schedule [adj.all] | further or added [adj.all]",trying to lose excess weight | found some extra change lying on the dresser | yet another book on heraldry might be thought redundant | skills made redundant by technological advance | sleeping in the spare room,"excess, redundant, spare, supererogatory, superfluous, supernumerary, surplus, special, additional"
extracellular,adjective,located or occurring outside a cell or cells [adj.pert],"extracellular fluid | ""extracellular fluid""",
extractable,adjective,capable of being extracted [adj.all],,extractible
extractible,adjective,capable of being extracted [adj.all],,extractable
extracurricular,adjective,outside the regular academic curriculum [adj.all] | outside the regular duties of your job or profession [adj.all] | characterized by adultery [adj.all],"sports and drama are popular extracurricular activities | ""sports and drama are popular extracurricular activities"" | an adulterous relationship | extramarital affairs | the extracurricular activities of a philandering husband","adulterous, extramarital"
extradural,adjective,on or outside the dura mater [adj.pert],,epidural
extragalactic,adjective,outside or beyond a galaxy [adj.pert],"extragalactic nebula | ""extragalactic nebula""",
extrajudicial,adjective,beyond the usual course of legal proceedings [adj.all],"an extrajudicial penalty | legally unwarranted | ""an extrajudicial penalty""",
extralegal,adjective,not regulated or sanctioned by law [adj.all],"there were only extralegal recourses for their grievances | ""there were only extralegal recourses for their grievances""",nonlegal
extralinguistic,adjective,not included within the realm of language [adj.pert],,
extramarital,adjective,characterized by adultery [adj.all],"an adulterous relationship | extramarital affairs | the extracurricular activities of a philandering husband | ""an adulterous relationship"" | ""extramarital affairs""","adulterous, extracurricular"
extramural,adjective,carried on outside the bounds of an institution or community [adj.all],"extramural sports | ""extramural sports""",
extraneous,adjective,not pertinent to the matter under consideration [adj.all] | not essential [adj.all] | not belonging to that in which it is contained [adj.all] | coming from the outside [adj.all],"an issue extraneous to the debate | the price was immaterial | mentioned several impertinent facts before finally coming to the point | ""an issue extraneous to the debate"" | ""the price was immaterial""","immaterial, impertinent, orthogonal, foreign, external, outside"
extraordinaire,adjective,extraordinary in a particular capacity [adj.all],"a woodworker extraordinaire | a self-starter extraordinaire | ""a woodworker extraordinaire"" | ""a self-starter extraordinaire""",extraordinaire(ip)
extraordinary,adjective,beyond what is ordinary or usual [adj.all] | far more than usual or expected [adj.all] | (of an official) serving an unusual or special function in addition to those of the regular officials [adj.all],extraordinary authority | an extraordinary achievement | her extraordinary beauty | enjoyed extraordinary popularity | an extraordinary capacity for work,"over-the-top, sinful, extraordinary(p)"
extrasensory,adjective,seemingly outside normal sensory channels [adj.all],,paranormal
extrasystolic,adjective,of or relating to or happening during an extrasystole [adj.pert],,
extraterrestrial,adjective,originating or located or occurring outside Earth or its atmosphere [adj.pert],"is there extraterrestrial life? | ""is there extraterrestrial life?""",
extraterritorial,adjective,outside territorial limits or jurisdiction [adj.all],"fishing in extraterritorial waters | enjoying exterritorial privileges and rights | ""fishing in extraterritorial waters"" | ""enjoying exterritorial privileges and rights""",exterritorial
extravagant,adjective,"unrestrained, especially with regard to feelings [adj.all] | recklessly wasteful [adj.all]","extravagant praise | exuberant compliments | overweening ambition | overweening greed | ""extravagant praise""","excessive, exuberant, overweening, prodigal, profligate, spendthrift"
extraversive,adjective,directed outward [adj.all],marked by interest in others or concerned with external reality,extroversive
extravert,adjective,being concerned with the social and physical environment [adj.all],,"extrovert, extroverted, extraverted, extrovertive, extravertive"
extraverted,adjective,being concerned with the social and physical environment [adj.all],,"extrovert, extravert, extroverted, extrovertive, extravertive"
extravertive,adjective,being concerned with the social and physical environment [adj.all],,"extrovert, extravert, extroverted, extraverted, extrovertive"
extreme,adjective,of the greatest possible degree or extent or intensity [adj.all] | far beyond a norm in quantity or amount or degree [adj.all] | beyond a norm in views or actions [adj.all] | most distant in any direction [adj.all],extreme cold | extreme caution | extreme pleasure | utmost contempt | to the utmost degree,"utmost(a), uttermost(a)"
extremist,adjective,(used of opinions and actions) far beyond the norm [adj.all],"extremist political views | radical opinions on education | an ultra conservative | ""extremist political views"" | ""radical opinions on education""","radical, ultra"
extricable,adjective,capable of being extricated [adj.all],,
extrinsic,adjective,not forming an essential part of a thing or arising or originating from the outside [adj.all],"extrinsic evidence | an extrinsic feature of the new building | that style is something extrinsic to the subject | looking for extrinsic aid | ""extrinsic evidence""",
extropic,adjective,of or relating to extropy [adj.pert],,
extrospective,adjective,not introspective [adj.all],examining what is outside yourself,extroverted
extroversive,adjective,directed outward [adj.all],marked by interest in others or concerned with external reality,extraversive
extrovert,adjective,being concerned with the social and physical environment [adj.all],,"extravert, extroverted, extraverted, extrovertive, extravertive"
extroverted,adjective,not introspective [adj.all] | at ease in talking to others [adj.all] | being concerned with the social and physical environment [adj.all],examining what is outside yourself,"extrospective, forthcoming, outgoing, extrovert, extravert, extraverted, extrovertive, extravertive"
extrovertish,adjective,being somewhat extroverted [adj.all],,
extrovertive,adjective,being concerned with the social and physical environment [adj.all],,"extrovert, extravert, extroverted, extraverted, extravertive"
extrusive,adjective,of rock material [adj.all],forced out while molten through cracks in the earth's surface,
exuberant,adjective,"joyously unrestrained [adj.all] | unrestrained, especially with regard to feelings [adj.all] | produced or growing in extreme abundance [adj.all]","extravagant praise | exuberant compliments | overweening ambition | overweening greed | ""extravagant praise""","ebullient, high-spirited, excessive, extravagant, overweening, lush, luxuriant, profuse, riotous"
exultant,adjective,joyful and proud especially because of triumph or success [adj.all],"rejoicing crowds filled the streets on VJ Day | a triumphal success | a triumphant shout | ""rejoicing crowds filled the streets on VJ Day"" | ""a triumphal success""","exulting, jubilant, prideful, rejoicing, triumphal, triumphant"
exulting,adjective,joyful and proud especially because of triumph or success [adj.all],"rejoicing crowds filled the streets on VJ Day | a triumphal success | a triumphant shout | ""rejoicing crowds filled the streets on VJ Day"" | ""a triumphal success""","exultant, jubilant, prideful, rejoicing, triumphal, triumphant"
exuvial,adjective,of or relating to the cast-off skins or cuticles of various animals [adj.pert],,
eye-catching,adjective,seizing the attention [adj.all],"eye-catching posters | ""eye-catching posters""",attention-getting
eye-deceiving,adjective,creating the illusion of seeing reality [adj.all],"the visual deception of trompe-l'oeil art | ""the visual deception of trompe-l'oeil art""",trompe-l'oeil(a)
eye-popping,adjective,amazingly impressive [adj.all],"the skater's dazzling virtuosic leaps | these great best canvases still look as astonishing and as invitingly new as they did...when...his fulgurant popularity was in full growth | adventures related...in a style both vivid and fulgurous | suggestive of the flashing of lightning | ""the skater's dazzling virtuosic leaps""","dazzling, fulgurant, fulgurous"
eyed,adjective,having an eye or eyes or eyelike feature especially as specified [adj.all],"a peacock's eyed feathers | red-eyed | often used in combination | ""a peacock's eyed feathers"" | ""red-eyed""",
