direction,headword,definition
en,babushka,woman's headscarf tied under the chin
en,baby,to indulge to treat like a baby | a very young child (birth to 1 year) who has not yet begun to walk or talk | to indulge | to treat like a babyM
en,baby bird,a young
en,baby blues,mild form of postpartum depression
en,baby boomer,person born during a baby boom (esp. after World War II)
en,baby buggy,a baby carriage
en,baby carriage,a pushchair a stroller
en,Babylonia,ancient kingdom in Mesopotamia
en,babysat,babysitting
en,baccalaureate,bachelor's degree | bachelor's degreeD
en,baccarat,type of card game
en,baccate,berrylike resembling a berry; bearing berries
en,bacchae,female followers of Dionysus
en,bacchanal,drunken reveller | bacchanalia
en,bacchanalia,a drunken revelry | a drunken revelryM
en,bacchant,drunken reveller
en,Bacchus,the god of wine in the Roman Mythology
en,Bach,Johann Sebastian Bach German composer (1685-1750)
en,bachelor,smo with a bachelor's degree | smo with a bachelor's degreeBB
en,bacillar,bacilliform
en,bacillary,bacilliform
en,bacilliform,baculiform
en,bacillophobia,abnormal fear of bacteria
en,bacillus,aerobic rod-shaped bacterium | aerobic rod-shaped bacteriumbacilliQ
en,back,to support
en,back country,remote and undeveloped area
en,back down,to withdraw to move backwards to give up
en,back number,smo or smth considered out of date
en,back off,to withdraw to give up
en,back out,to withdraw
en,backbit,backbitten
en,backbone,the network infrastructure | chief support main strength | determination strength of character | spinal column | chief support | main strength
en,backchat,a back talk
en,backcloth,background
en,backcountry,remote and undeveloped area
en,backdown,withdrawal
en,backdrop,background
en,backend,backside rear
en,backer,a bettor | a supporter
en,backfire,to come back to the originator of an action with an undesired effect
en,backhander,a backhand blow
en,backhoe,power shovel
en,backlash,rebound reaction; a sudden movement backwards
en,backless,without a back
en,backlog,to accumulate | accumulation
en,backlogged,accumulated
en,backpedal,to pedal backwards (on a bicycle) | to modify one's opinion
en,backplate,an armor for protecting the back
en,backset,setback
en,backslash,the punctuation mark '\'
en,backslid,backslidden backslid | backslidden | backslid
en,backstairs,indirect unofficial
en,backstroke,backhanded stroke or motion | swimming stroke done on the back | swimming stroke done on the backB
en,backup,a backup man; support | protecting data by saving a copy of it on a separate storage | a backup man; support
en,backwards,towards the back
en,backwash,backward flow of water or air | aftermath aftereffect | backward flow of water or air | aftermath | aftereffect
en,backwater,a remote or backward area
en,backwoods,a remote area
en,backwoodsman,backwoodsmen
en,baconer,pig from which bacon is cut
en,bacteria,microscopic organisms (pl. of bacterium) | microscopic organisms (pl. of bacterium)Q
en,bacteriaphobia,abnormal fear of bacteria
en,bactericidal,disinfectant
en,bactericide,antibacterial substance substance that destroys bacteria
en,bacteriocyte,bacteria cell
en,bacteriolysis,the dissolution of bacteria
en,bacteriophage,a virus that infects and replicates within bacteria
en,bacteriophagea virus that infects and replicates within bacteria,phage
en,bacteriostasis,inhibition of the growth and reproduction of bacteria
en,bacteriostatic,inhibiting the growth and reproduction of bacteria
en,bacterium,microscopic organism
en,bacteriuria,presence of bacteria in urine
en,baculiform,having a bacillus form
en,bad,worse worst
en,bad check,bad cheque
en,bad egg,a person with a bad character | a rotten egg | a person with a bad character
en,bad hair day,an unsuccessful day
en,bad rap,an unjust accusation; an adverse opinion or judgment considered undeserved or unjust
en,bad weather,weather unsuitable for outdoor activities
en,bad-mouth,to criticize spitefully to disparage
en,badge of honor,badge of honour
en,badlands,type of arid terrain
en,badly off,very poor
en,badman,badmen
en,badmouth,to criticize sharply to slander | to criticize sharply | to slander
en,baffle,a baffling plate | to confuse to bewilder
en,bafflement,confusion
en,baffling,confusing bewildering | confusing | bewilderingBB
en,bafflingly,confusingly
en,bag,to kill or catch (animal) | put in a bag | a pouch a flexible container; a briefcase
en,bagatelle,smth of little importance
en,baggageman,baggagemen
en,bagging,type of coarse fabric used for bags
en,baggy,hanging loosely
en,bagpipe,a musical instrument consist of a bag and attached pipes
en,Bah,'u'll
en,Bahai,relating to Bahaism
en,Bahaullah,Mirza Huseyn Ali Nuri founder of the Bahaism (1817-1892)
en,Bahrain,state in the Persian Gulf
en,bail,handle of a bucket
en,bail on (smth),to opt out of
en,bail out,to rescue; to free (smo) on bail
en,bailiff,court officer sheriff's officer; landlord agent estate manager | court officer | sheriff's officer; landlord agent | estate manager
en,bailment,depositting of goods for safekeeping
en,bailsman,bailsmen
en,bairn,a child
en,bait,to place a bait | to annoy | a lure smth used to catch fish or animals
en,bait and switch,a form of fraud in which customers are attracted by the advertisement of a low-priced item but then discover that the advertised good is not available and are encouraged to buy a higher-priced item
en,Baja California,a peninsula on northwest Mexico
en,bakehouse,bakery
en,baker's dozen,the number thirteen
en,baker's yeast,yeast used in baking and brewing
en,Bakersfield,city in south central California | city in south central CaliforniaM& |
en,baking,bread-making
en,Baku,capital of Azerbaijan | capital of Azerbaijanb
en,balance,to make equal or stable; to become equal | bank account balance | scales | equilibrium stability; mental stability; remainder the rest (of smth) | to make equal or stable; to become equal
en,balanced,poised equilibrated
en,bald,balder baldest
en,bald eagle,large North American eagle
en,baldachin,an ornamental canopy | an ornamental canopy baldaquin
en,balderdash,nonsense
en,bale#1,to tie up | bundle package
en,bale#2,sorrow evil
en,baleen,material from the upper jaws of whales whalebone
en,Bali,an island in Indonesia | an island in IndonesiaA
en,balistraria,an arrow slit
en,balk,to hesitate be reluctant; to hinder | timber beam; smth that interferes or delays block
en,balk at,to hesitate be reluctant
en,Balkanic,of the Balkan
en,Balkanization,Balkanisation
en,Balkanize,to divide a territory into small hostile states
en,Balkans,the Balkan countries
en,balkiness,stubbornness
en,balktimber beam; smth that interferes or delays block,baulkDA
en,balkto hesitate be reluctant; to hinder,baulkDA
en,ball#1,a projectile | to form into a ball | a round object
en,ball#2,a formal dance gathering
en,ball-peen hammer,hammer having a hemispherical peening head
en,balladeer,ballad singer
en,ballast,to steady using a ballast
en,ballasting,to steady using a ballast
en,ballerina,female ballet dancer
en,ballerino,a danseur a male ballet dancer
en,balletic,suitable for ballet
en,ballism,violent flinging movements of the body limbs
en,balloon,to become inflated | a hot-air balloon | an inflatable rubber bag used as a toy | a hot-air balloon
en,ballot,to vote by ballot | vote voting | to vote by ballot
en,ballpark,a specific range | approximate | baseball stadium
en,ballplayer,baseball player
en,balls-out,extreme; total; without restraint
en,ballsy,bold plucky
en,ballyhoo,uproar noise
en,balmily,soothingly
en,balmy,crazy barmy | balmier balmiest | balmier | balmiestA
en,balmycrazy barmy,balmier | balmiestA
en,balneotherapy,treatment by bathing
en,baloney,nonsense
en,balsa,a raft | tropical American tree; lightweight wood of the balsa
en,balsawood,type of light wood
en,Baltimore,largest city in Maryland (USA)
en,Baltimorean,a person from Baltimore (USA)
en,Balzac,Honor
en,Bamako,capital city of Mali
en,bambino,child | childR
en,bamboozle,to cheat to trick; to confuse
en,bamboozlement,deception trickery
en,ban,to forbid legally to block | embargo legal prohibition
en,banana republic,small and unstable country (esp. in Central America)
en,band,a strip | to join together | a group
en,band gap,energy gap
en,bandanna,large colored handkerchief
en,bandeau,bandeaux bandeaus
en,bandgap,energy gap
en,bandit,a brigand a robber
en,bandita brigand a robber,bandits | banditti
en,bandmaster,a conductor of a band
en,bandog,a watchdog
en,bandoleer,ammunition belt
en,bandolier,ammunition belt
en,bandsman,bandsmen
en,bandwidth,avaiable transmission rate of data
en,bandy,to discuss or pass on | bandier bandiest | to pass back and forth; to exchange (words) | to discuss or pass on | bandier | bandiest
en,bane,poison | cause of ruin a curse | cause of ruin | a curseM
en,baneful,harmful deadly
en,bang,to hit to strike | a blow a sudden loud noise | to hit | to strikeB
en,bang-up,very good
en,banger,firecracker | pork sausage
en,Bangkok,capital city of Thailand
en,Bangladeshi,of Bangladesh | a person from Bangladesh
en,bangle,a bracelet
en,Bangui,capital of Central Africa
en,banister,bannister
en,Banjul,capital of Gambia
en,bank,a slope a tilt | to pile | to deposit (money) in a bank | to tilt | a pile | land by the side of river | a financial institution | to deposit (money) in a bankB
en,bank bill,bank note
en,bank check,document ordering a bank to pay money
en,bank line,credit line
en,bank on,to rely on to count on
en,banknote,paper money
en,bankroll,to finance | money funds; roll of currency notes
en,bankrolling,financing
en,bankrupt,to make (smo) bankrupt | insolvent unable to pay one's debts | to make (smo) bankruptB
en,banner,outstanding excellent | outstanding | excellentB
en,bannister,balustrade railing of a staircase
en,banns,a public announcement of a proposed marriage
en,banquet,hold a banquet | large meal for many people celebration
en,banshee,female spirit who foreshadows death (Irish folklore)
en,bantam,a small domestic fowl
en,bantam weight,boxing weight category; between flyweight and featherweight
en,bantamweight,boxing weight category; between flyweight and featherweight
en,Banten,province of Indonesia
en,bantling,a little child
en,Bantu,member of the Bantu tribe in Africa | family of languages spoken in central and southern Africa
en,bantustan,a territory set aside for black inhabitants of South Africa (during the Apartheid)
en,banyan,East Indian fig tree (Ficus Bengalensis) | East Indian fig tree (Ficus Bengalensis)banian
en,banyan tree,East Indian fig tree (Ficus Bengalensis) | East Indian fig tree (Ficus Bengalensis)banian tree
en,baobab,type of tropical tree having an very thick trunk
en,baptism,Christian rite of admission to the Church (by sprinkling water)
en,baptistery,baptistry
en,baptize,baptise
en,baptized,christened
en,baptizer,baptiser
en,bar,pub | a restriction | to secure with a bar | to ban to prevent | a rod a long piece of metal or wood
en,baragnosis,lack of ability to sense weight
en,barb,sharp remark | a thorn point of barbed wire | a thorn | point of barbed wireA
en,barbarian,cruel; uncivilized | primitive person uncivilized person
en,barbarism,incorrect use of language | cruelness
en,barbarize,barbarise
en,barbarous,savage | of a language
en,barbate,bearded
en,barbecue,barbeque
en,barbed wire,wire with sharp barbs used
en,barbel,type of river fish having barbels
en,barbell,exercise equipment used in weight lifting
en,barberry,type of bush
en,barbital,sedative drug
en,barbitone,sedative drug
en,barbiturate,type of sedative drug | type of sedative drugQ
en,barbudo,beardfish
en,barbwire,barbed wire
en,Barcelona,city in northeastern Spain
en,bard,a poet
en,Bard of Avon,epithet of Shakespeare
en,barde,a bard a poet
en,bardolater,a person who admires Shakespeare
en,bare,barer barest
en,bare-bones,minimal; the basic elements
en,barebacked,without a saddle | not having a saddle
en,barefaced,insolent shameless
en,baresthesia,a sense of pressure
en,barf,vomit | to vomit to eject the contents of the stomach | vomit
en,bargaining chip,smth used as leverage in negotiations
en,barge,to transport by a barge | to move roughly | a flatboat a lighter | a flatboat | a lighterA
en,barge in,to intrude to interrupt rudely
en,bargeman,smo who operates a barge
en,bariatric,relating to bariatrics
en,bariatrics,the branch of medicine that deals with the causes prevention and treatment of obesity
en,barista,a person who prepares coffee in a coffee bar
en,baritone,male voice between bass and tenor
en,barium,soft silvery metallic element (Ba)
en,bark#1,(of a dog) to produce a bark | to cough | a harsh sound made by dogs | (of a dog) to produce a barkA
en,bark#2,to remove the bark from | covering of a tree
en,bark#3,a ship
en,barking,taking off tree's bark | sound of a dog | taking off tree's bark
en,barman,barmen
en,barmecidal,appear to be plentiful illusory | appear to be plentiful | illusory
en,barmy,frothy | crazy very foolish
en,barnacle,barnacle goose | marine crustaceans that attach to submerged surfaces
en,barney,a noisy quarrel
en,baron,baroness
en,baronet,a member of the British order of honor; ranks below a baron but above a knight
en,baroque,of the baroque | European art and music style during the 17th and 18th centuries
en,barotrauma,an injury caused due to pressure (usu. to ear structures)
en,barr,barrister
en,barrack,to jeer to loudly disapprove | to jeer | to loudly disapprove
en,barracking,lodging in barracks
en,barracks,buildings for military personnel | buildings for military personnelbarracks
en,barracuda,a predatory marine fish
en,barrage,to overwhelm to bombard with questions | a river dam | a bombardment an outpouring | a bombardment | an outpouringA'
en,barranca,a small ravine
en,barred,forbidden | striped covered with stripes | locked | striped | covered with stripesA |
en,barrel,to move fast
en,barreled,tapered on both ends
en,barrelling,moving fast
en,barren,fruitless; without vegetation (of a land); not bearing offspring | cannot bear offspring (of female) | bare dry (of a land) | fruitless; without vegetation (of a land); not bearing offspring | bare | dry (of a land)
en,barrens,wasteland barren tracts of land | wasteland | barren tracts of land
en,barrette,a hairpin
en,barricaded,blocked
en,barring,except for
en,barrow#1,a handcart
en,barrow#2,a burial mound
en,barstool,high chair used in bars
en,bartizan,a turret
en,barycenter,barycentre
en,basal ganglia,the basal nuclei
en,basal nuclei,the basal ganglia
en,basally,fundamentally
en,base,military base outpost | low ignoble | aqueous substance that can accept protons; chemical opposite of acid | to found to establish | basis the bottom part foundation | military base | outpostM | to found | to establishM
en,baseball,ball game
en,baseborn,not legal (a child) | of a low class by birth low born
en,Basel,city in northwestern Switzerland
en,baseless,not based on facts having no foundation | not based on facts | having no foundation
en,baselessness,lack of base or foundation
en,basely,in a base way immorally
en,basement,the underground story | the underground storyM
en,bash,a blow a hit | a happy party | to hit
en,bashaw,pasha | pashaD
en,basher,a blow | a party
en,basic,having properties of a base | fundamental constituting a base | fundamental | constituting a base
en,basics,the fundamentals the essential principles
en,basil,aromatic herb
en,basilar,of a base located at the base
en,basilary,of a base located at the base
en,basilic,royal
en,basilica,cathedral; Roman public building | cathedral; Roman public building&QQ
en,basilisk,type of lizard found in tropical America | a mythical dragon
en,basin,valley | bowl container
en,basis,bases
en,basket case,smo or smth which is in a completely hopeless or useless condition; a person who has had all four limbs amputated
en,basophilic,stain readily with basic dyes (a tissue)
en,Basque,the Basque language
en,Basra,second largest city in Iraq
en,bass ackwards,wrong done the wrong way
en,bass black,genus of freshwater fish
en,bass#1,deep resonant (of sound or voice) | the lowest male voice; the lowest musical part
en,bass#2,type of fish
en,basset,to appear on the surface | basset hound breed of hound | basset hound | breed of hound
en,basso,bass singer
en,basswood,American lime tree
en,bastard,a despicable person | fake not original | illegitimate offspring | illegitimate offspring
en,bastardization,corrupting | declaring a person a bastard | declaring a person a bastardbastardisation
en,bastardize,to debase
en,bastinado,a stick a club | to beat smo on the soles of the feet | beating with a stick
en,bastioned,fortified
en,bat#1,to hit to strike (e.g. a ball) | wooden club
en,bat#2,nocturnal flying mammal
en,bat#3,to flutter to wink
en,batch,to organize as a batch | a collection a bundle | to organize as a batchB | a collection | a bundleB
en,bate,beat the wings (a hawk) | to decrease
en,bateau,boat
en,Bath,town in southwestern England | town in southwestern EnglandB
en,bath,bathing tab | washing
en,bathe,washing | to take a swim | immersion swim | to wash to take a bath
en,bathetic,gooey effusively emotional
en,bathing suit,a swimsuit
en,bathometer,device for measuring the depth of water
en,bathophobia,morbid fear of depths
en,bathos,insincere pathos absurdity anticlimax; triviality of style | insincere pathos | absurdity | anticlimax; triviality of style
en,bathymeter,device for measuring the depth of water
en,batik,technique of dyeing textile
en,bating,except excluding | except | excluding
en,batiste,thin cotton fabric
en,batman,batmen
en,baton sinister,a charge used in heraldry: a narrow strip from the upper right to the lower left of a coat of arms; a mark of bastardy
en,batsman,batsmen
en,batt,battalion
en,batten,long and flat wooden or metal strip for strengthening or securing smth | to secure with battens
en,batten on,to thrive or prosper at the expense of
en,batter,a backwards slope in a wall | a mixture (in baking) | to strike forcefully | a baseball player who is batting | a mixture (in baking)B | a baseball player who is battingB
en,battery,an artillery unit | a series a collection of related things | an assault | an electric cell | an artillery unit | a series | a collection of related things
en,battiness,madness
en,battle,to fight to combat; to struggle | fight combat; struggle | to fight | to combat; to struggle
en,battle royal,a noisy riotous fight; a fight between many warriors
en,battleax,battleaxe
en,battleful,bellicose ready to fight
en,battler,smo who fights
en,batty,loony crazy mad | loony | crazy | madbattier | battiestB
en,batwing,shaped as a bat's wing
en,baud,baud rate data communication rate (in bits per seconds)
en,baud rate,data communication rate (in bits per seconds)
en,Baudelaire,Charles Baudelaire French poet (1821-1867)
en,Bauhaus,German school that combined crafts and the fine arts (1919-1933); German architecture style
en,bauxite,a mineral that is the chief ore of aluminum
en,Bavaria,a state in southern Germany
en,Bavarian,relating to Bavaria | a person from Bavaria | a person from Bavaria#K
en,bawdiness,obscenity lewdness
en,bawdy,bawdier bawdiest | bawdier | bawdiestD |
en,bawdy house,house of prostitution a brothel | house of prostitution | a brothel
en,bawl,to shout to yell | to reprimand | to scoldD | to shout | to yellD
en,bawler,screamer
en,bay,laurel bay tree | a howl a sound of a dog | to howl (of a dog) | of reddish-brown color (of a horse) | part of a building marked off by columns | crown made of laurel which signifies honor | honor | a gulf a small arm of sea | part of a building marked off by columnsM | honorM
en,bayoneted bayonetted,bayoneted | bayonettedbayoneting | bayonetting
en,bayou,(in the southern US) swampy arm or slow-moving outlet of a lake
en,bazillion,a very large number
en,bcardiomyopathy,disorder of the heart muscle
en,BCD,binary-coded decimal
en,be absent,fail to be present
en,be added,to constitute an addition
en,be all ears,to listen carefully
en,be amazed,to be astonished or surprised
en,be at stake,be at risk be in danger; be at issue
en,be called,be named; be summoned
en,be divided,be parted be separated
en,be echoed,be repeated (sound)
en,be eloquent,have a fluent and appropriate speaking
en,be enough,be sufficient
en,be entitled,have a right to
en,be established,to be proven; to be accepted
en,be fooled,to be cheated
en,be humble,be contemptible | be modest
en,be in cahoots,to conspire together secretly
en,be in for,be sure to have or to get (a surprise a punishment etc.)
en,be in step with,to be conforming to
en,be interested in,to take an interest in
en,be it ... or,whether it is
en,be it as it may,in any event
en,be low,be contemptible
en,be off the mark,to be incorrect
en,be on the money,to be exactly right
en,be parted,be parted be separated
en,be party to,to participate in
en,be pressed for,to have scarcely enough
en,be sick of,be tired of be disgusted with
en,be summarized,summarised
en,be taken in,to be cheated
en,be to blame,be responsible (for a fault or a problem)
en,be used to,in the habit of
en,be wont to,be in the habit of
en,beach,to go up onto the beach (a ship) | to go up onto the beach (a ship)R
en,beachcomber,wanderer beach-bum
en,beachhead,a foothold
en,beacon,guiding light; lighthouse radio transmitter for location signalling
en,bead,decorate with beads
en,beads of sweat,drops of perspiration
en,beady,beadier beadiest | beadier | beadiestR |
en,beagle,a breed of small to medium-sized dog
en,beak#1,hooked nose | horny projection of a bird which acts as a mouth
en,beak#2,a magistrate | a schoolmaster
en,beaked,having a beak | resembling a beak | resembling a beak
en,beaker,a cup | a cupR
en,beam,broad smile | to radiate to light up | to smile | ray of light; directed radio signal | long and thick piece (of wood or metal) used for supporting in construction
en,beamy,glowing | bulky (of a ship) broad
en,bean,to hit on the head (esp. with a pitched baseball) | a leguminous plant; an edible seed of the bean plant
en,bean counter,an accountant or bureaucrat who is believed to place undue emphasis on the control of expenditures
en,beanfeast,annual feast
en,beanstalk,stem of a bean plant
en,bear a grudge,to retain resentful feelings
en,bear down,to charge to make a sudden attack upon | to exert pressure | to exert pressure
en,bear down on,to exert pressure on; to cause a strain upon
en,bear in mind,to keep in mind to remember to be aware of
en,bear on,to have a connection with be relevant to
en,bear out,to support with evidence to confirm to prove correct
en,bear upon,to have an influence on to have an effect upon
en,bear with,to be patient
en,bear#1,investor who expects market prices to drop | a rude person | a massive furry mammal | a massive furry mammalK
en,bear#2,give birth to (a child); to produce (e.g. fruits) | to carry; to support; to tolerate to endure
en,bearable,can be tolerated
en,beard,bristles growing on certain plants | to defy to confront | hair that grows on men's lower part of the face
en,beardless,immature | having no beard
en,bearing,mechanical part that supports another one | relevance relevant relation | direction path | deportment of a person manner | relevance | relevant relation
en,beastie,a small animal
en,beat,to defeat | beaten | to surpass | to hammer (metal) | a strike; a pulse | a scoop | tired exhausted | to strike repeatedly to hit; to thump | to hammer (metal)Rbeatbeaten | a strike; a pulseR
en,beat (smo) up,to give a beating to
en,beat a retreat,to depart defeated
en,beat the gun,to profit from a development in the market by acting in advance of the majority
en,beatable,can be overcome or defeated
en,beatific,blessed happy
en,beating,act of punishing with repeated blows; overcoming defeating
en,beatitude,blessedness happiness | blessedness | happiness
en,beats me,I don't know I haven't got a clue
en,beau,a lover
en,beau ideal,the concept of perfect beauty; an idealized type or model
en,Beaufort scale,scale for describing wind velocity (from 0 to 12)
en,Beaujolais,province in France
en,beauteous,beautiful
en,beauteously,beautifully
en,beautiful,(be made ~) | pleasent to behold
en,beautifulness,handsomeness
en,beautify,to decorate | to make beautiful
en,beauty,beautiful woman | the quality of being pleasent to behold
en,beauty pageant,beauty contest
en,beaux arts,the fine arts
en,beaver,large semiaquatic broad-tailed rodent known for building wooden river dams
en,beaver board,light wood-like building material
en,beaverboard,light wood-like building material
en,bebop,type of jazz music
en,becalm,keep (a ship) from sailing due to lack of wind | to calm to steady
en,became,become
en,because,due to
en,because of,due to
en,beccafico,orphean warbler (small songbird)
en,bechance,to befall happen to occur
en,beck#1,a gesture a sign | a gesture | a signK
en,beck#2,a watercourse a stream
en,beckon,to summon to signal (e.g. by waving a hand or a nod of the head)
en,become,to suit | come to be
en,become blue,to turn blue
en,become clear,become clarified
en,become rich,to get rich
en,becoming,appropriate suitable | appropriate | suitableC
en,Becquerel,Henri Becquerel French physicist who discovered radioactivity in uranium (1852-1908)
en,becquerel,unit of radioactivity
en,bed,bottom seabed | a flowerbed | to put to bed; to sleep with | a furniture used for sleeping; bedstead mattress | to put to bed; to sleep withK |
en,bed bug,small insect that infests houses and bedding and feed on human blood
en,bedaub,to besmear to dirty
en,bedeck,decorate
en,bedehouse,beadhouse almshouse
en,bedevil,to cause trouble to to torment
en,bedeviling,tormenting; confusing
en,bedevilling,tormenting; confusing
en,bedevilto cause trouble to to torment K#,bedeviled | bedevilledbedeviled | bedevilledbedeviling | bedevilling
en,bedew,to wet to make (smth) wet with dew
en,bedim,make dim
en,bedlam,insane asylum | noisy uproar great confusion | noisy uproar | great confusion
en,bedlamite,crazy lunatic
en,bedmate,bedfellow
en,bedplate,a plate or platform serving as a base for a machine
en,bedpost,post of a bed
en,bedrid,confined to bed due to illness
en,bedridden,confined to bed
en,bedrock,solid rock lying beneath surface deposits of soil; basic principle
en,bedsore,pressure sore
en,bee,a meeting | a stinging insect | a stinging insectR
en,bee-eater,type of insectivorous bird
en,beech,type of tree or its wood
en,beechen,made of beech wood
en,beef,a complaint point of contention | to complain | meat from an adult domestic bovine | a complaint | point of contentionbeeves | beefsR
en,beef up,to make stronger or greater
en,beefy,heavily built muscular
en,beeline,a direct route
en,Beelzebub,the Devil Satan
en,beestings,first milk produced after giving birth (of a cow)
en,beeswax,a yellow to brown wax secreted by honeybees to build honeycombs
en,Beethoven,Ludwig van Beethoven German composer (1770-1827)
en,beetle,a type of hammer | to beat using a beetle | an insect | to beat using a beetle
en,befell,befallen
en,befitting,appropriate suiting
en,befool,to fool to cheat | to fool | to cheat
en,before,in front of | earlier in time than | previously
en,before long,soon in the near future
en,before the wind,with the wind in the wind's direction
en,beforehand,ahead of time | in advance
en,befriend,to aid to help | to become friend to
en,befuddled,stupefied by alcoholic drink | confused perplexed | stupefied by alcoholic drinkC |
en,befuddlement,confusion bafflement | confusion | bafflement
en,beg,to ask for alms | to request to implore | to request | to imploreK
en,beg the question,to assume the truth of smth yet to be proved; to evade the issue
en,beg to differ,to disagree
en,beg your pardon,excuse me
en,beg your pardon?,what did you say
en,began,begun
en,beget,be a father of to sire; to cause
en,beggar,to impoverish | to exceed
en,beggary,being a begger
en,begin,to start to commence | to start | to commence
en,begin again,to start over
en,beginner,novice smo who is new to a field; smo who establishes
en,beginning,start origin; commencing commencement
en,beginning start,kick-off
en,begird,to surround
en,begonia,a flowering plantY
en,begot,begotten
en,begrime,to soil to make dirty | to soil | to make dirty
en,begrudge,to envy to be jealous; to give reluctantly
en,beguile,to deceive to trick; to fascinate to bewitch
en,beguiler,deceiver
en,behalf,interest sake
en,behave,to conduct oneself or to act in a particular way | to act properly
en,behave oneself,mind one's manners
en,behavior,demeanor conduct the way smo behaves
en,behavioral,relating to behavior
en,behaviorism,behaviourism
en,behaviorist,psychologist who adheres to behaviorism | relating to behavior
en,behavioristic,relating to behaviorism
en,beheld,beheld
en,behest,a command or order
en,behind,in or toward the rear | buttocks | located after | in or toward the rear
en,behind closed doors,secretly | happening secretly
en,behind the times,out-of-date backward
en,behold,to see to observe
en,beholden,indebted
en,behoof,a benefit
en,behoove,be appropriate for be necessary for (smo to do smth)
en,Behr's disease,genetic disorder causing neurological complications
en,Behr's syndrome,genetic disorder causing neurological complications
en,beige,of grayish-yellow color | grayish-yellow color
en,Beijing,the capital city of China Peking
en,Beirut,capital city of Lebanon
en,bejeweled,bejewelled
en,bel,unit of sound (equals to 10 decibels)
en,belabor,to attack verbally; to beat
en,Belarus,White Russia
en,belated,delayed; arriving too late
en,belatedly,late
en,belation,happiness joy
en,belay,to secure using a rope to wrap (a rope) around a pin or other object
en,beldam,a hag an evil-looking old woman | a hag | an evil-looking old woman
en,beleaguer,to harass to trouble | to besiege | to harass | to trouble
en,Belfast,capital of Northern Ireland
en,belfry,bell tower
en,Belgrade,capital city of Serbia and Montenegro
en,Belial,the Devil
en,belie,to contradict | to represent falsely
en,believable,can be accepted as truth
en,believe,to accept as true; take to be true
en,Belize,British Honduras a country in Central America
en,bell pepper,sweet pepper
en,belladonna,deadly nightshade type of poisonous plant
en,belle,a beauty a beautiful woman
en,bellhop,bellboy
en,bellicose,ready to fight aggressive
en,belligerence,a hostile or aggresive attitude
en,belligerent,eager to fight militant aggressive | smo who fights a fighter
en,Bellini,Vincenzo Bellini Italian opera composer (1801-1835)
en,bellman,a bellhop | a town crier; smo who rings a bell
en,belly button,the navel the umbilicus
en,belly up,to approach
en,belly-up,bankrupt
en,bellybutton,the navel the umbilicus
en,belove,to love
en,Belshazzar,king of ancient Babylon
en,belt,to punch | wallop strike | region | to surround with a belt | girdle waistband | girdle | waistbandK
en,belting,material for making belts
en,beluga,white whale; white sturgeon
en,bemaul,to beat hard
en,bemoan,to lament to deplore | to lament | to deploreYY
en,bemock,to mock at
en,bemusement,"confusion bafflement | confusion | bafflementK%"""
en,ben,a mountain
en,bench,tribunal | pulpit of a judge | long seat | pulpit of a judgeK
en,bencher,judge
en,benchmark,standard by which smth can be measured criterion
en,bender,a drinking party
en,benedict,recently married man
en,beneficence,benevolence
en,beneficialness,the quality of being beneficial
en,benefit,profit gain | to gain to profit; to be useful | to gain | to profit; to be usefulK
en,Benelux,customs union that includes Belgium Netherlands and Luxembourg
en,benevolent,generous kindly openhearted | generous | kindly | openheartedK
en,Bengal tiger,type of tiger mainly found in Bangladesh and India
en,Bengali,relating to Bengal | Bengali language | a native of Bengal
en,Benghazi,port city in Libya
en,benighted,ignorant
en,benightedness,darkness | ignorance
en,benign,not dangerous non-malignant (of a tumor) | kindly genial
en,benignant,pleasant favorable kind
en,benignantly,in a benign manner
en,benignly,in a benign manner
en,Benin,country on western coast of Africa
en,benison,blessing
en,benne,sesame
en,bent,bent | homosexual | dishonest | tendency inclination | curved inclined | tendency | inclinationK
en,bent on,determined to
en,benthal,of the sea floor
en,benthic,of the sea floor
en,benthonic,of the sea floor
en,benthos,fauna and flora found on the sea floor
en,benumb,to make numb
en,Benzedrine,brand name of an amphetamine
en,benzodiazepine,type of antianxiety drug
en,Beograd,Belgrade capital city of Serbia and Montenegro
en,Beowulf,heroic epic poem in Old English
en,beplaster,to cover thickly with
en,bequeath,to leave to give by will
en,berceuse,a lullaby
en,bereave,to deprive (by means of death)
en,bereaved,bereaved
en,bereavement,mourning great sorrow over the death of a loved
en,Bergamo,a town in Lombardy Italy
en,bergamot,type of citrus tree or its fruit
en,beribboned,adorned decorated with ribbons
en,beriberi,a disease caused by a deficiency of thiamine (vitamin B1)
en,Berkeley,George Berkeley Irish philosopher and bishop (1685-1753)
en,Berkelium,radioactive element (Bk)
en,Berkshire,county in southern England
en,Berlin,capital of Germany
en,Berliner,a person from Berlin
en,berm,a raised bank bordering a canal or road; shoulder of a road
en,bermenschsuperman superior human being,bermenschen
en,Bern,capital of Switzerland | capital of SwitzerlandL
en,Berne,capital of Switzerland | capital of SwitzerlandL
en,Bernoulli,Daniel Bernoulli Swiss physicist (1700-1782)
en,berried,bearing berries
en,berrylike,resembling a berry
en,berseem,Egyptian clover (type of plant)
en,berserk,frenzied demoniac
en,berth,a position an office a job | a bed a bunk (in a train etc.) | to moor or be moored (a ship) | moorage place of a ship at a wharf | a position | an office | a jobL | to moor or be moored (a ship)L
en,beryl,mineral that is a source of beryllium used also as a gemstone
