headword,definition
church hat,[noun] a fanciful hat of the kind worn by Black women for Sunday worship [noun.artifact]
church key,[noun] can opener that has a triangular pointed end that pierces the tops of cans [noun.artifact]
church member,[noun] a religious person who goes to church regularly [noun.person]
church mode,[noun] any of a system of modes used in Gregorian chants up until 1600 [noun.communication]
church mouse,[noun] come between so as to be hindrance or obstacle [verb.social]
church music,[noun] genre of music composed for performance as part of religious ceremonies [noun.communication]
church of christ scientist,[noun] Protestant denomination founded by Mary Baker Eddy in 1866 [noun.group]
church of england,[noun] the national church of England (and all other churches in other countries that share its beliefs) [noun.group]
church of ireland,[noun] autonomous branch of the Church of England in Ireland [noun.group]
church of jesus christ of latter-day saints,"[noun] church founded by Joseph Smith in 1830 with headquarters in Salt Lake City, Utah [noun.group]"
church of rome,[noun] the Christian Church based in the Vatican and presided over by a pope and an episcopal hierarchy [noun.group]
church of scientology,[noun] a new religion founded by L. Ron Hubbard in 1955 and characterized by a belief in the power of a person's spirit to clear itself of past painful experiences through self-knowledge and spiritual fulfillment [noun.group]
church of the brethren,[noun] a Baptist denomination founded in 1708 by Americans of German descent [noun.group]
church officer,[noun] a church official [noun.person]
church property,[noun] property or income owned by a church [noun.possession]
church roll,[noun] a list of the members of church [noun.communication]
church school,[noun] a private religious school run by a church or parish [noun.group]
church service,[noun] a service conducted in a house of worship [noun.act]
church slavic,[noun] the Slavic language into which the Bible was translated in the 9th century [noun.communication]
church tower,[noun] the tower of a church [noun.artifact]
church year,[noun] the year in the ecclesiastical calendar [noun.time]
church-state,[noun] a state ruled by religious authority [noun.group]
churchgoer,[noun] a religious person who goes to church regularly [noun.person]
churchgoing,[adjective] actively practicing a religion [adj.all]
churchill,[noun] English general considered one of the greatest generals in history (1650-1722) [noun.person] | British statesman and leader during World War II [noun.person] | a Canadian town in northern Manitoba on Hudson Bay [noun.location]
churchill downs,[noun] a racetrack for thoroughbred racing in Louisville [noun.artifact]
churchillian,[adjective] of or relating to or suggestive of Winston Churchill [adj.pert]
churchly,[adjective] resembling or suggesting or appropriate to a church [adj.all]
churchman,[noun] a clergyman or other person in religious orders [noun.person]
churchwarden,[noun] an officer in the Episcopal church who helps a parish priest with secular matters [noun.person]
churchyard,[noun] the yard associated with a church [noun.location]
churidars,[noun] tight trousers worn by people from the Indian subcontinent (typically with a kameez or kurta) [noun.artifact]
churl,[noun] a crude uncouth ill-bred person lacking culture or refinement [noun.person] | a selfish person who is unwilling to give or spend [noun.person] | a bad-tempered person [noun.person]
churlish,[adjective] rude and boorish [adj.all] | having a bad disposition [adj.all]
churlishly,[adverb] in a churlish manner [adv.all]
churn,[noun] a vessel in which cream is agitated to separate butterfat from buttermilk [noun.artifact] | stir (cream) vigorously in order to make butter [verb.contact] | be agitated [verb.motion]
churn out,[verb] perform in a mechanical way [verb.creation] | produce something at a fast rate [verb.creation]
churn up,[verb] cause aversion in [verb.emotion]
churned-up,[adjective] moving with or producing or produced by vigorous agitation [adj.all]
churning,[adjective] moving with or producing or produced by vigorous agitation [adj.all] | (of a liquid) agitated vigorously [adj.all]
churr,"[verb] make a vibrant sound, as of some birds [verb.communication]"
churrigueresco,[adjective] having elaborate symmetrical ornamentation [adj.all]
churrigueresque,[adjective] having elaborate symmetrical ornamentation [adj.all]
chute,[noun] rescue equipment consisting of a device that fills with air and retards your fall [noun.artifact] | sloping channel through which things can descend [noun.artifact] | jump from an airplane and descend with a parachute [verb.motion]
chute-the-chute,[noun] elevated railway in an amusement park (usually with sharp curves and steep inclines) [noun.artifact]
chutney,[noun] a spicy condiment made of chopped fruits or vegetables cooked in vinegar and sugar with ginger and spices [noun.food]
chutzpa,[noun] (Yiddish) unbelievable gall [noun.attribute]
chutzpah,[noun] (Yiddish) unbelievable gall [noun.attribute]
chutzpanik,[noun] (Yiddish) a person characterized by chutzpa [noun.person]
chuvash,[noun] a member of a people of Turkic speech living in the Volga region in eastern Russia [noun.person] | the Turkic language spoken by the Chuvash [noun.communication]
chylaceous,[adjective] consisting of chyle or having the properties of chyle [adj.pert]
chyle,[noun] a milky fluid consisting of lymph and emulsified fats [noun.body]
chylifactive,[adjective] producing or converting into chyle [adj.pert]
chylifactory,[adjective] producing or converting into chyle [adj.pert]
chyliferous,[adjective] transmitting chyle [adj.pert]
chylific,[adjective] producing or converting into chyle [adj.pert]
chyloderma,[noun] swelling of the scrotum resulting from chronic lymphatic obstruction [noun.state]
chylomicron,[noun] a microscopic particle of triglycerides produced in the intestines during digestion [noun.substance]
chylous,[adjective] consisting of chyle or having the properties of chyle [adj.pert]
chyme,[noun] a semiliquid mass of partially digested food that passes from the stomach through the pyloric sphincter into the duodenum [noun.substance]
chymosin,[noun] an enzyme that occurs in gastric juice [noun.substance]
chytridiaceae,[noun] a family of aquatic fungi of order Chytridiales [noun.plant]
chytridiales,[noun] simple aquatic fungi mostly saprophytic but some parasitic on higher plants or animals or fresh water fungi [noun.plant]
chytridiomycetes,[noun] a class of mostly aquatic fungi [noun.plant]
ci,"[noun] a unit of radioactivity equal to the amount of a radioactive isotope that decays at the rate of 37,000,000,000 disintegrations per second [noun.quantity] | being one more than one hundred [adj.all]"
cia,[noun] an independent agency of the United States government responsible for collecting and coordinating intelligence and counterintelligence activities abroad in the national interest [noun.group]
cialis,[noun] virility drug (trade name Cialis) used to treat erectile dysfunction in men [noun.artifact]
ciao,[noun] an acknowledgment that can be used to say hello or goodbye (aloha is Hawaiian and ciao is Italian) [noun.communication]
ciardi,[noun] United States poet and critic (1916-1986) [noun.person]
cibotium,[noun] in some classification systems placed in family Cyatheaceae: ornamental tree ferns with coarse gracefully drooping fronds [noun.plant]
cibotium barometz,[noun] Asiatic tree fern having dense matted hairs sometimes used as a styptic [noun.plant]
cicada,[noun] stout-bodied insect with large membranous wings [noun.animal]
cicada killer,[noun] large black or rust-colored wasp that preys on cicadas [noun.animal]
cicadellidae,[noun] leafhoppers [noun.animal]
cicadidae,[noun] cicadas [noun.animal]
cicala,[noun] stout-bodied insect with large membranous wings [noun.animal]
cicatrice,[noun] a mark left (usually on the skin) by the healing of injured tissue [noun.state]
cicatrise,"[verb] form a scar, after an injury [verb.contact]"
cicatrix,[noun] a mark left (usually on the skin) by the healing of injured tissue [noun.state]
cicatrize,"[verb] form a scar, after an injury [verb.contact]"
cicer,[noun] chickpea plant [noun.plant]
cicer arietinum,[noun] Asiatic herb cultivated for its short pods with one or two edible seeds [noun.plant]
cicero,[noun] a linear unit of the size of type slightly larger than an em [noun.quantity] | a Roman statesman and orator remembered for his mastery of Latin prose (106-43 BC) [noun.person]
cicerone,[noun] a guide who conducts and informs sightseers [noun.person]
cichlid,[noun] freshwater fishes of tropical America and Africa and Asia similar to American sunfishes [noun.animal]
cichlid fish,[noun] freshwater fishes of tropical America and Africa and Asia similar to American sunfishes [noun.animal]
cichlidae,[noun] cichlids [noun.animal]
cichorium,[noun] chicory [noun.plant]
cichorium endivia,[noun] widely cultivated herb with leaves valued as salad green [noun.plant]
cichorium intybus,[noun] perennial Old World herb having rayed flower heads with blue florets cultivated for its root and its heads of crisp edible leaves used in salads [noun.plant]
cicily isabel fairfield,[noun] British writer (born in Ireland) (1892-1983) [noun.person]
cicindelidae,[noun] tiger beetles [noun.animal]
ciconia,[noun] type genus of the Ciconiidae: European storks [noun.animal]
ciconia ciconia,[noun] the common stork of Europe [noun.animal]
ciconia nigra,[noun] Old World stork that is glossy black above and white below [noun.animal]
ciconiidae,[noun] storks [noun.animal]
ciconiiformes,[noun] order of chiefly tropical marsh-dwelling fish-eating wading birds with long legs and bills and (except for flamingos) unwebbed feet: herons [noun.animal]
cicuta,[noun] small genus of perennial herbs having deadly poisonous tuberous roots: water hemlock [noun.plant]
cicuta verosa,[noun] tall erect highly poisonous Eurasiatic perennial herb locally abundant in marshy areas [noun.plant]
cid,[noun] the United States Army's principal law enforcement agency responsible for the conduct of criminal investigations for all levels of the Army anywhere in the world [noun.group]
cidade de praia,[noun] the capital of Cape Verde on Sao Tiago Island [noun.location]
cider,[noun] a beverage made from juice pressed from apples [noun.food]
cider gum,[noun] small to medium-sized tree of Tasmania [noun.plant]
cider mill,[noun] mill that extracts juice from apples to make apple cider [noun.artifact]
cider vinegar,[noun] vinegar made from cider [noun.food]
ciderpress,[noun] a press that is used to extract the juice from apples [noun.artifact]
cigar,[noun] a roll of tobacco for smoking [noun.artifact]
cigar band,[noun] a narrow paper band around a cigar [noun.artifact]
cigar box,[noun] a box for holding cigars [noun.artifact]
cigar butt,[noun] small part of a cigar that is left after smoking [noun.artifact]
cigar cutter,[noun] an implement for cutting the tip off of a cigar [noun.artifact]
cigar lighter,[noun] a lighter for cigars or cigarettes [noun.artifact]
cigar smoker,[noun] a smoker of cigars [noun.person]
cigar-box cedar,[noun] fragrant wood much used for cigar boxes [noun.plant]
cigar-shaped,[adjective] tapering at each end [adj.all]
cigaret,[noun] finely ground tobacco wrapped in paper [noun.artifact]
cigarette,[noun] finely ground tobacco wrapped in paper [noun.artifact]
cigarette burn,[noun] a burn mark left by a smoldering cigarette [noun.attribute]
cigarette butt,[noun] small part of a cigarette that is left after smoking [noun.artifact]
cigarette case,[noun] a small flat case for holding cigarettes [noun.artifact]
cigarette holder,[noun] a tube that holds a cigarette while it is being smoked [noun.artifact]
cigarette lighter,[noun] a lighter for cigars or cigarettes [noun.artifact]
cigarette paper,[noun] a strong tissue paper that burns evenly and is sufficiently porous to control the burning of the tobacco in a cigarette [noun.substance]
cigarette smoker,[noun] a smoker of cigarettes [noun.person]
cigarfish,[noun] small fusiform fish of western Atlantic [noun.animal]
cigarillo,[noun] small cigar or cigarette wrapped in tobacco instead of paper [noun.artifact]
cilantro,[noun] Old World herb with aromatic leaves and seed resembling parsley [noun.plant] | parsley-like herb used as seasoning or garnish [noun.food]
cilial,[adjective] of or relating to cilia projecting from the surface of a cell [adj.pert]
ciliary,[adjective] relating to the ciliary body and associated structures of the eye [adj.pert] | of or relating to cilia projecting from the surface of a cell [adj.pert] | of or relating to the human eyelash [adj.pert]
ciliary artery,[noun] one of several arteries supplying the choroid coat of the eye [noun.body]
ciliary body,[noun] the part of the tunic of the eye between the choroid coat and the iris [noun.body]
ciliary veins,[noun] small veins coming from the ciliary body [noun.body]
ciliata,[noun] class of protozoa having cilia or hairlike appendages on part or all of the surface during some part of the life cycle [noun.animal]
ciliate,[noun] a protozoan with a microscopic appendage extending from the surface of the cell [noun.animal] | of or relating to cilia projecting from the surface of a cell [adj.pert] | of or relating to the human eyelash [adj.pert] | having a margin or fringe of hairlike projections [adj.all]
ciliated,[adjective] having a margin or fringe of hairlike projections [adj.all]
ciliated protozoan,[noun] a protozoan with a microscopic appendage extending from the surface of the cell [noun.animal]
cilioflagellata,[noun] in some classifications considered a phylum of the kingdom Protista [noun.animal]
ciliophora,[noun] class of protozoa having cilia or hairlike appendages on part or all of the surface during some part of the life cycle [noun.animal]
ciliophoran,[noun] a protozoan with a microscopic appendage extending from the surface of the cell [noun.animal]
cilium,[noun] a hairlike projection from the surface of a cell [noun.animal] | any of the short curved hairs that grow from the edges of the eyelids [noun.body]
cim,[noun] the United Kingdom's central unit for the tasking and coordination and funding of intelligence and security agencies [noun.group]
cimabue,[noun] painter of the Florentine school [noun.person]
cimarron,[noun] a river that rises in northeastern New Mexico and flows eastward into Oklahoma where it becomes a tributary of the Arkansas River [noun.object] | wild sheep of mountainous regions of western North America having massive curled horns [noun.animal]
cimarron river,[noun] a river that rises in northeastern New Mexico and flows eastward into Oklahoma where it becomes a tributary of the Arkansas River [noun.object]
cimetidine,[noun] a drug (trade name Tagamet) used to treat peptic ulcers by decreasing the secretion of stomach acid [noun.artifact]
cimex,[noun] type genus of the Cimicidae: bedbugs [noun.animal]
cimex lectularius,[noun] bug of temperate regions that infests especially beds and feeds on human blood [noun.animal]
cimicidae,[noun] wingless flat-bodied bloodsucking insects [noun.animal]
cimicifuga,[noun] small genus of perennial herbs of north temperate regions: bugbane [noun.plant]
cimicifuga americana,[noun] bugbane of the eastern United States having erect racemes of white flowers [noun.plant]
cimicifuga foetida,[noun] bugbane of Siberia and eastern Asia having ill-smelling green-white flowers [noun.plant]
cimicifuga racemosa,[noun] North American bugbane found from Maine and Ontario to Wisconsin and south to Georgia [noun.plant]
cimmerian,[adjective] intensely dark and gloomy as with perpetual darkness [adj.all]
cinch,[noun] any undertaking that is easy to do [noun.act] | stable gear consisting of a band around a horse's belly that holds the saddle in place [noun.artifact] | a form of all fours in which the players bid for the privilege of naming trumps [noun.act] | tie a cinch around [verb.contact] | make sure of [verb.cognition] | get a grip on [verb.cognition]
cinchona,[noun] medicinal bark of cinchona trees [noun.plant] | any of several trees of the genus Cinchona [noun.plant]
cinchona bark,[noun] medicinal bark of cinchona trees [noun.plant]
cinchona calisaya,[noun] Peruvian shrub or small tree having large glossy leaves and cymes of fragrant yellow to green or red flowers [noun.plant]
cinchona cordifolia,[noun] Colombian tree [noun.plant]
cinchona lancifolia,[noun] Colombian tree [noun.plant]
cinchona ledgeriana,[noun] Peruvian shrub or small tree having large glossy leaves and cymes of fragrant yellow to green or red flowers [noun.plant]
cinchona officinalis,[noun] Peruvian shrub or small tree having large glossy leaves and cymes of fragrant yellow to green or red flowers [noun.plant]
cinchona pubescens,[noun] small tree of Ecuador and Peru having very large glossy leaves and large panicles of fragrant pink flowers [noun.plant]
cinchona tree,[noun] small tree of Ecuador and Peru having very large glossy leaves and large panicles of fragrant pink flowers [noun.plant]
cinchonine,[noun] an alkaloid derivative of the bark of cinchona trees that is used as an antimalarial drug [noun.substance]
cincinnati,[noun] a city in southern Ohio on the Ohio river [noun.location]
cincinnatus,[noun] Roman statesman regarded as a model of simple virtue [noun.person]
cinclidae,[noun] water ouzels [noun.animal]
cinclus,[noun] type genus of the family Cinclidae [noun.animal]
cinclus aquaticus,[noun] a water ouzel of Europe [noun.animal]
cinclus mexicanus,[noun] a water ouzel of western North America [noun.animal]
cinco de mayo,[noun] the fifth of May which is observed in Mexico and Mexican-American communities in the United States to commemorate the Mexican victory over the French in the Battle of Puebla in 1862 [noun.time]
cincture,[noun] a band of material around the waist that strengthens a skirt or trousers [noun.artifact]
cinder,[noun] a fragment of incombustible matter left after a wood or coal or charcoal fire [noun.object]
cinder block,[noun] a light concrete building block made with cinder aggregate [noun.artifact]
cinder pig,[noun] pig iron containing a substantial proportion of slag [noun.substance]
cinder track,[noun] a racetrack paved with fine cinders [noun.artifact]
cinderella,[noun] a woman whose merits were not been recognized but who then achieves sudden success and recognition [noun.person] | a fictional young girl who is saved from her stepmother and stepsisters by her fairy godmother and a handsome prince [noun.person]
cine projector,[noun] projects successive frames from a reel of film to create moving pictures [noun.artifact]
cine-camera,[noun] a camera that takes a sequence of photographs that can give the illusion of motion when viewed in rapid succession [noun.artifact]
cine-film,[noun] photographic film several hundred feet long and wound on a spool [noun.artifact]
cinema,[noun] a medium that disseminates moving pictures [noun.communication] | a theater where films are shown [noun.artifact]
cinema verite,[noun] a movie that shows ordinary people in actual activities without being controlled by a director [noun.communication]
cinematic,[adjective] of or pertaining to or characteristic of the cinema [adj.pert]
cinematise,[verb] make a film of or adopt so as to make into a film [verb.creation]
cinematize,[verb] make a film of or adopt so as to make into a film [verb.creation]
cinematographer,[noun] a photographer who operates a movie camera [noun.person]
cinematography,[noun] the act of making a film [noun.act]
cineraria,[noun] herb of Canary Islands widely cultivated for its blue or purple or red or variegated daisylike flowers [noun.plant]
cineraria maritima,[noun] stiff much-branched perennial of the Mediterranean region having very white woolly stems and leaves [noun.plant]
cinerarium,[noun] a niche for a funeral urn containing the ashes of the cremated dead [noun.artifact]
cinerary,[adjective] containing or used for ashes of the cremated dead [adj.pert]
cingulate gyrus,[noun] a long curved structure on the medial surface of the cerebral hemispheres [noun.body]
cingulum,[noun] (anatomy) an encircling structure (as the ridge around the base of a tooth) [noun.body]
cinnabar,[noun] a heavy reddish mineral consisting of mercuric sulfide [noun.substance] | large red-and-black European moth [noun.animal] | of a vivid red to reddish-orange color [adj.all]
cinnabar chanterelle,[noun] mushroom with a distinctive pink to vermillion fruiting body [noun.plant]
cinnabar moth,[noun] large red-and-black European moth [noun.animal]
cinnamene,[noun] a colorless oily liquid [noun.substance]
cinnamomum,[noun] Asiatic and Australian aromatic trees and shrubs [noun.plant]
cinnamomum camphora,[noun] large evergreen tree of warm regions whose aromatic wood yields camphor [noun.plant]
cinnamomum cassia,[noun] Chinese tree with aromatic bark [noun.plant]
cinnamomum loureirii,[noun] tropical southeast Asian tree with aromatic bark [noun.plant]
cinnamomum zeylanicum,[noun] tropical Asian tree with aromatic yellowish-brown bark [noun.plant]
cinnamon,[noun] aromatic bark used as a spice [noun.plant] | tropical Asian tree with aromatic yellowish-brown bark [noun.plant] | spice from the dried aromatic bark of the Ceylon cinnamon tree [noun.food]
cinnamon bark,[noun] aromatic bark of Saigon cinnamon used medicinally as a carminative [noun.plant] | aromatic bark used as a spice [noun.plant]
cinnamon bear,[noun] reddish-brown color phase of the American black bear [noun.animal]
cinnamon bread,[noun] bread flavored with cinnamon often containing raisins [noun.food]
cinnamon bun,[noun] rolled dough spread with cinnamon and sugar (and raisins) then sliced before baking [noun.food]
cinnamon colored,[adjective] having the color of cinnamon [adj.all]
cinnamon coloured,[adjective] having the color of cinnamon [adj.all]
cinnamon fern,[noun] New World fern having woolly cinnamon-colored spore-bearing fronds in early spring later surrounded by green fronds [noun.plant]
cinnamon roll,[noun] rolled dough spread with cinnamon and sugar (and raisins) then sliced before baking [noun.food]
cinnamon snail,[noun] rolled dough spread with cinnamon and sugar (and raisins) then sliced before baking [noun.food]
cinnamon stone,[noun] a garnet ranging in color from yellow to brown [noun.substance]
cinnamon toast,[noun] buttered toast with sugar and cinnamon (and nutmeg and grated lemon peel) [noun.food]
cinnamon vine,[noun] hardy Chinese vine naturalized in United States and cultivated as an ornamental climber for its glossy heart-shaped cinnamon-scented leaves and in the tropics for its edible tubers [noun.plant]
cinnamon-colored,[adjective] having the color of cinnamon [adj.all]
cinnamon-coloured,[adjective] having the color of cinnamon [adj.all]
cinnamon-red,[adjective] red tinged with cinnamon [adj.all]
cinnamon-scented,[adjective] smelling of cinnamon [adj.all]
cinquefoil,[noun] any of a numerous plants grown for their five-petaled flowers [noun.plant] | an ornamental carving consisting of five arcs arranged in a circle [noun.artifact]
cio,[noun] a federation of North American industrial unions that merged with the American Federation of Labor in 1955 [noun.group]
cipher,[noun] a message written in a secret code [noun.communication] | a mathematical element that when added to another number yields the same number [noun.quantity] | a person of no influence [noun.person] | a secret method of writing [noun.communication] | convert ordinary language into code [verb.communication] | make a mathematical calculation or computation [verb.cognition]
cipro,[noun] an oral antibiotic (trade name Cipro) used against serious bacterial infections of the skin or respiratory tract or urinary tract or bones or joints [noun.artifact]
ciprofloxacin,[noun] an oral antibiotic (trade name Cipro) used against serious bacterial infections of the skin or respiratory tract or urinary tract or bones or joints [noun.artifact]
cira,[noun] a terrorist organization formed in Ireland in 1994 as a clandestine armed wing of Sinn Fein [noun.group]
circadian,[adjective] of or relating to biological processes occurring at 24-hour intervals [adj.pert]
circadian rhythm,[noun] a daily cycle of activity observed in many living organisms [noun.time]
circaea,[noun] enchanter's nightshade [noun.plant]
circaea alpina,[noun] an Alpine variety of enchanter's nightshade [noun.plant]
circaea lutetiana,[noun] tall evening primrose with inconspicuous flowers [noun.plant]
circaetus,[noun] harrier eagles [noun.animal]
circassian,[noun] a member of the Sunni Muslim people living in northwestern Caucasia [noun.person] | a mostly Sunni Muslim community living in northwestern Caucasia [noun.group] | a northern Caucasian language spoken by the Circassian [noun.communication]
circassian walnut,[noun] Eurasian walnut valued for its large edible nut and its hard richly figured wood [noun.plant]
circe,[noun] (Greek mythology) a sorceress who detained Odysseus on her island and turned his men into swine [noun.person]
circinate,[adjective] shaped like a ring [adj.all]
circinus,[noun] a small faint constellation in the southern hemisphere near Musca and Triangulum Australe [noun.object]
circis siliquastrum,[noun] small tree of the eastern Mediterranean having abundant purplish-red flowers growing on old wood directly from stems and appearing before the leaves: widely cultivated in mild regions [noun.plant]
circle,[noun] ellipse in which the two axes are of equal length [noun.shape] | an unofficial association of people or groups [noun.group] | something approximating the shape of a circle [noun.shape] | movement once around a course [noun.act] | a road junction at which traffic streams circularly around a central island [noun.artifact] | street names for flunitrazepan [noun.artifact] | a curved section or tier of seats in a hall or theater or opera house [noun.artifact] | any circular or rotating mechanism [noun.artifact] | travel around something [verb.motion] | move in circles [verb.motion] | form a circle around [verb.contact]
circle around,[verb] move around in a circular motion [verb.motion]
circle of curvature,[noun] the circle that touches a curve (on the concave side) and whose radius is the radius of curvature [noun.attribute]
circle of willis,[noun] a ring of arteries at the base of the brain [noun.body]
circle round,[verb] move around in a circular motion [verb.motion]
circlet,[noun] a small circle [noun.shape] | decorated metal band worn around the head [noun.artifact]
circuit,[noun] an electrical device that provides a path for electrical current to flow [noun.artifact] | a journey or route all the way around a particular place or area [noun.act] | an established itinerary of venues or events that a particular group of people travel to [noun.location] | the boundary line encompassing an area or object [noun.location] | (law) a judicial division of a state or the United States (so-called because originally judges traveled and held court in different locations) [noun.group] | a racetrack for automobile races [noun.artifact] | movement once around a course [noun.act] | make a circuit [verb.motion]
circuit board,[noun] a printed circuit that can be inserted into expansion slots in a computer to increase the computer's capabilities [noun.artifact]
circuit breaker,[noun] a device that trips like a switch and opens the circuit when overloaded [noun.artifact]
circuit card,[noun] a printed circuit that can be inserted into expansion slots in a computer to increase the computer's capabilities [noun.artifact]
circuit court of appeals,[noun] one of the twelve federal United States courts of appeals that cover a group of states known as a `circuit' [noun.group]
circuitous,[adjective] marked by obliqueness or indirection in speech or conduct [adj.all] | deviating from a straight course [adj.all]
circuitry,[noun] electronic equipment consisting of a system of circuits [noun.artifact]
circular,[noun] an advertisement (usually printed on a page or in a leaflet) intended for wide distribution [noun.communication] | having a circular shape [adj.all] | describing a circle [adj.all]
circular file,[noun] a container with an open top [noun.artifact]
circular function,[noun] function of an angle expressed as a ratio of the length of the sides of right-angled triangle containing the angle [noun.relation]
circular measure,[noun] measurement of angles in radians [noun.quantity]
circular plane,[noun] a plane with a flexible face that can plane concave or convex surfaces [noun.artifact]
circular saw,[noun] a power saw that has a steel disk with cutting teeth on the periphery [noun.artifact]
circular-knit,[adjective] knitted in tubular form [adj.all]
circularisation,[noun] circulating printed notices as a means of advertising [noun.act]
circularise,[verb] canvass by distributing letters [verb.social] | distribute circulars to [verb.motion]
circularity,[noun] the roundness of a 2-dimensional figure [noun.attribute]
circularization,[noun] circulating printed notices as a means of advertising [noun.act]
circularize,[verb] canvass by distributing letters [verb.social] | canvass by using a questionnaire [verb.social] | distribute circulars to [verb.motion] | make circular [verb.change]
circularly,[adverb] in a circular manner [adv.all]
circulate,"[verb] become widely known and passed on [verb.communication] | cause be distributed [verb.motion] | move through a space, circuit or system, returning to the starting point [verb.motion] | move in circles [verb.motion] | cause to move in a circuit or system [verb.motion] | move around freely [verb.motion] | cause to move around [verb.change]"
circulating,[adjective] passing from one to another [adj.all]
circulating decimal,[noun] a decimal with a sequence of digits that repeats itself indefinitely [noun.quantity]
circulating library,[noun] library that provides books for use outside the building [noun.artifact]
circulation,[noun] the dissemination of copies of periodicals (as newspapers or magazines) [noun.communication] | movement through a circuit [noun.phenomenon] | (library science) the count of books that are loaned by a library over a specified period [noun.quantity] | number of copies of a newspaper or magazine that are sold [noun.quantity] | free movement or passage (as of cytoplasm within a cell or sap through a plant) [noun.event] | the spread or transmission of something (as news or money) to a wider group or area [noun.act]
circulative,[adjective] of or relating to circulation [adj.pert]
circulatory,[adjective] of or relating to circulation [adj.pert] | relating to circulatory system or to circulation of the blood [adj.pert]
circulatory failure,[noun] failure of the cardiovascular system to supply adequate amounts of blood to body tissues [noun.state]
circulatory system,[noun] the organs and tissues involved in circulating blood and lymph through the body [noun.body]
circumambulate,[verb] walk around something [verb.motion]
circumboreal,[adjective] comprising or throughout far northern regions [adj.all]
circumcise,[verb] cut the skin over the clitoris [verb.contact] | cut the foreskin off male babies or teenage boys [verb.contact]
circumcision,[noun] (Roman Catholic Church and Anglican Church) feast day celebrating the circumcision of Jesus [noun.time] | the act of circumcising performed on males eight days after birth as a Jewish and Muslim religious rite [noun.act] | the act of circumcising [noun.act]
circumduction,[noun] a circular movement of a limb or eye [noun.act]
circumference,[noun] the size of something as given by the distance around it [noun.attribute] | the boundary line encompassing an area or object [noun.location] | the length of the closed curve of a circle [noun.attribute]
circumferent,[adjective] closely encircling [adj.all]
circumferential,[adjective] lying around or just outside the edges or outskirts [adj.all]
circumflex,[noun] a diacritical mark (^) placed above a vowel in some languages to indicate a special phonetic quality [noun.communication]
circumflex artery,[noun] any of several paired curving arteries [noun.body]
circumflex artery of the thigh,[noun] an artery that supplies the hip joint and thigh muscles [noun.body]
circumflex femoral vein,[noun] either of two veins that accompany arteries of the same name serving the hip and thigh [noun.body]
circumflex humeral artery,[noun] an artery that supplies the shoulder joint and shoulder muscles [noun.body]
circumflex iliac artery,[noun] an artery that supplies the lower abdominal walls and skin and the sartorius muscle [noun.body]
circumflex iliac vein,[noun] accompanies the artery of the same name [noun.body]
circumflex scapular artery,[noun] an artery that serves the muscles of the shoulder and scapular area [noun.body]
circumflex vein,[noun] any of several curved parallel veins accompanying arteries of the same name [noun.body]
circumfuse,[verb] spread something around something [verb.motion]
circumlocution,[noun] a style that involves indirect ways of expressing things [noun.communication] | an indirect way of expressing something [noun.communication]
circumlocutious,[adjective] roundabout and unnecessarily wordy [adj.all]
circumlocutory,[adjective] roundabout and unnecessarily wordy [adj.all]
circumnavigate,"[verb] travel around, either by plane or ship [verb.motion]"
circumnavigation,[noun] traveling around something (by ship or plane) [noun.act]
circumpolar,[adjective] (of a celestial body) continually visible above the horizon during the entire 360 degrees of daily travel [adj.all] | located or found throughout a polar region [adj.all]
circumscribe,"[verb] draw a line around [verb.contact] | restrict or confine, ""I limit you to two visits to the pub a day"" [verb.change] | to draw a geometric figure around another figure so that the two are in contact but do not intersect [verb.contact]"
circumscribed,[adjective] subject to limits or subjected to limits [adj.all]
circumscription,[noun] the act of circumscribing [noun.act]
circumspect,[adjective] heedful of potential consequences [adj.all]
circumspection,[noun] knowing how to avoid embarrassment or distress [noun.cognition] | the trait of being circumspect and prudent [noun.attribute]
circumspectly,[adverb] in a cagey manner [adv.all]
circumstance,[noun] a condition that accompanies or influences some event or activity [noun.state] | the set of facts or circumstances that surround a situation or event [noun.state] | information that should be kept in mind when making a decision [noun.cognition] | formal ceremony about important occasions [noun.event]
circumstances,[noun] your overall circumstances or condition in life (including everything that happens to you) [noun.state] | a person's financial situation (good or bad) [noun.possession]
circumstantial,[adjective] fully detailed and specific about particulars [adj.all]
circumstantial evidence,[noun] evidence providing only a basis for inference about the fact in dispute [noun.communication]
circumstantially,[adverb] according to circumstances [adv.all] | insofar as the circumstances are concerned [adv.all] | in minute detail [adv.all] | without advance planning [adv.all]
circumstantiate,[verb] give circumstantial evidence for [verb.communication]
circumvallate,[verb] surround with or as if with a rampart or other fortification [verb.competition]
circumvent,[verb] surround so as to force to give up [verb.competition] | beat through cleverness and wit [verb.competition]
circumvention,[noun] the act of evading by going around [noun.act]
circumvolute,"[verb] wind or turn in volutions, especially in an inward spiral, as of snail [verb.stative]"
circumvolution,[noun] the act of turning or winding or folding around a central axis [noun.act]
circumvolve,[verb] cause to turn on an axis or center [verb.motion]
circus,"[noun] a travelling company of entertainers [noun.group] | a performance given by a traveling company of acrobats, clowns, and trained animals [noun.act] | a frenetic disorganized (and often comic) disturbance suggestive of a large public entertainment [noun.act] | (antiquity) an open-air stadium for chariot races and gladiatorial games [noun.artifact] | an arena consisting of an oval or circular area enclosed by tiers of seats and usually covered by a tent [noun.artifact] | a genus of haws comprising the harriers [noun.animal]"
