Source,Headword,Definition
Ayman,pramoxinesprandial,أَكْلِيّ
Ayman,pranoliumsMpraseodymium,البراسيوديميوم (العُنْصُرُ التاسِعُ والخَمْسُون)
Ayman,pratiquesprawns,إِرْبِيَان
Ayman,praxiology,عِلْمُ السُّلوك
Ayman,prazepams^praziquantel,برازيكوانتيل (دَواءٌ مُضادٌّ لِلبِلْهارْسِيَّاتِ والشَّريطِيَّات)
Ayman,prazosins7pre-,سابقة بمعنى قَبْل (للزمان وللمكان)
Ayman,preaortic,أَمامَ الأَبْهَر
Ayman,preataxic,سابِقٌ للرَّنَح
Ayman,preaurales5preauricular,أَمامَ صِيْوَانِ الأُذُن
Ayman,preaxials5prebacillary,قَبْل ظُهورِ العُصَيَّات
Ayman,prebasilar,أَمامَ القاعِدِيّ (في القحف)
Ayman,prebiotic,قَبْلَ الأَحْياء
Ayman,precancer,مُحْتَمَلُ التَّسَرْطُن
Ayman,precardiac,أَمامَ القَلْب
Ayman,precardium,البَرْك
Ayman,precentral,أَمامَ المَرْكَز
Ayman,preceptee,مُتَحَذِّق
Ayman,precession,مُدَاوَرَة
Ayman,prechordal,أَمامَ القُرْدُود
Ayman,precibalsprecious,ثَمِيْن
Ayman,preciouss9precipitable,رَسُوْب؛ قَابِلٌ للتَّرَسُّب
Ayman,precipitin,المُرَسِّبَة
Ayman,preclimax,دُوْنَ الأَوْج
Ayman,preclimaxs-preclinical,قَبْلَ السَّريرِيّ
Ayman,preclival,أَمامَ المَحْدَر
Ayman,preclivals+preclotting,تَجْليطٌ مُسْبَق
Ayman,precocious,مُبَكِّر
Ayman,precocity,تَبَكُّر
Ayman,precoital,سابِقٌ للجِماع
Ayman,precoitals6precollagenous,مُقَدِّمَةُ الكولاجين
Ayman,precordial,بَرْكِيّ
Ayman,precuneal,طَلَلِيّ
Ayman,precunial,طَلَلِيّ
Ayman,predation,افْتِراس
Ayman,predationspredator,مُفْتَرِس
Ayman,predators)predelivery,قَبْلَ الوَضْع
Ayman,predentin,طَليعَةُ العَاج
Ayman,predentins3prediabetes,مُقَدِّماتُ السُّكَّرِيّ
Ayman,prediction,تَكَهُّن
Ayman,predictor,مُنْبِىء
Ayman,predictors+predigested,مُسْبَقُ الهَضْم
Ayman,prednisone,بريدنيزون
Ayman,preductal,قَبْلَ القَناةِ الشِّرْيانِيَّة
Ayman,preductals3preeclampsia,مُقَدِّماتُ الارْتِعاج
Ayman,preelacin,طَليعَةٌ الإِيلاَسين
Ayman,preenzyme,طَليعَةُ الإِنْزيم
Ayman,prefrontal,مُقَدَّمُ الجَبْهِيّ
Ayman,pregeminal,الأُكَيمَةُ العُلْوِيَّة
Ayman,pregenital,سابِقٌ للمَرْحَلَةِ التَّناسُلِيَّة
Ayman,"pregnancyso""pregnancy - specific beta globulin",البِيتاغلُوبولينُ النَّوْعِيُّ للحَمْل
Ayman,pregnanes(pregnanediol,بريغنانديول
Ayman,pregnantspregnene,بريغنين
Ayman,pregonium,مُقَدَّمُ الزَّاوِيَة (للفَكّ-سُفْلِيّ)
Ayman,"pregoniums,pregranular",سابِقٌ لتَّحَبُّب
Ayman,prehallux,قادِمَةُ إِبْهَامِ القَدَم
Ayman,prehension,الإمْساك (بشَيْءٍ ما)
Ayman,prehormone,طَليعَةُ الهُرْمُون
Ayman,prehyoids?prehyoid glands,الغُدَدُ أَمامَ اللَّامِيَّة
Ayman,prelacteal,سابِقٌ للدَّرّ
Ayman,prelimbic,أَمامَ الحُوْف
Ayman,prelimbics%preliminary,تَمْهيدِيّ
Ayman,prelumbar,أَمامَ القَطَن
Ayman,premarital,سابِقٌ للزَّواج
Ayman,prematures#prematurity,ابْتِسار
Ayman,premaxilla,قادِمّةُ الفَكَّ العُلْوِيّ
Ayman,premedical,قَبْلَ الطِّبِّيّ
Ayman,premeiotic,سابِقٌ للانْتِصاف
Ayman,premitotic,سابِقٌ للتَّفَتُّل
Ayman,"premolars""premonitory",مُنْذِر
Ayman,premorbid,سابِقٌ للمَرَض
Ayman,premortems(premotor,أَمامَ الحَرَكِيَّة
Ayman,premotors?premotor neuron,عَصَبُونٌ حَرَكِيٌّ عُلْوِيّ
Ayman,premycotic,سابِقٌ للفُطَارِِ
Ayman,prenaress#prenasal,أَمامَ الأَنْف
Ayman,prenasals;prenasal fossa,الحُفْرَةُ أَمامَ الأَنْفِ
Ayman,prenasale,النُّخَيْرَى
Ayman,prenasales&prenatal,سابِقٌ للوِلاَدَة
Ayman,prenormal,سابِقٌ للسَّوِيّ
Ayman,"prenormals,prenormality",سابِقٌ للسَّواء
Ayman,preopticspreoral,أَمامَ الفَم
Ayman,prepalatal,أَمامَ الحَنَك
Ayman,preparator,مُحَضِّر
Ayman,preparetic,سابِقٌ للخَزَل
Ayman,prepartal,سابِقٌ للمَخَاض
Ayman,"prepartums,prepatellar",أَمامَ الرَّضَفَة
Ayman,prepatency,سُبْقَةُ الظُّهور
Ayman,prepatent,سابِقٌ للظُّهور (في المرحلة بين العدوى وظهور الأعراض)
Ayman,prepelvic,أَمامَ الحَوض
Ayman,prephallic,سابِقٌ للمَرْحَلَةِ القَضيبِيَّة
Ayman,prephenate,بريفينات
Ayman,prepollex,قادِمَةُ الإِبْهام
Ayman,prepontine,أَمامَ الجِسْر
Ayman,prepotency,مُكْنَةٌ مُسْبَقَة (في نقل الصفات الوراثية)
Ayman,prepotents/prepotential,مُقْتَبَلُ الكامِن
Ayman,prepuberal,سابِقٌ للبُلوغ
Ayman,prepuberty,مُقْتَبَلُ البُلوغ
Ayman,preputial,قُلْفِيّ
Ayman,preputials-preputiotomy,بَضْعُ القُلْفَة
Ayman,preputium,القُلْفَة
Ayman,prerectal,أَمامَ المُسْتَقيم
Ayman,prerectals%prerenal,أَمامَ الكُلْيَة
Ayman,prerennins3prereplicative,سابِقٌ للتَّنَسُّخ
Ayman,preretinal,أَمامَ الشَّبَكِيَّة
Ayman,presacral,أَمامَ العَجُز
Ayman,presacrals9presacral nerve,العَصَبُ أمامَ العَجُز
Ayman,presbyopes1presbyophrenia,خَرَفٌ شَيخوخِيّ
Ayman,presbyopia,قُصُوُّ البَصَرِ الشَّيخُوُخِيّ
Ayman,presbyopic,مصاب ب قُصُوِّ البَصَرِ الشَّيخوخِيّ
Ayman,presbytia,قُصُوُّ البَصَرِ الشَّيخُوخِيّ
Ayman,prescapula,قادِمَةُ الكَتِف
Ayman,presellar,أَمامَ السَّرْج
Ayman,presellarspresence,حُضور
Ayman,"preseniles""presenility",كُهولَة
Ayman,presenium,مُقْتَبَلُ الشَّيخوخَة
Ayman,preseniumspresent,حاضِر
Ayman,prespinal,أَمامَ السَّيْسَاءِ
Ayman,prespinals^prespinous patellar bursa,الجِرابُ الرَّضَفَيُّ أَمامَ الشَّوكِيّ
Ayman,pressuresZpressure-arresting point,نُقْطَةُ الضَّغْطِ المُوَقِّف (للنزف)
Ayman,presternum,قادِمَةُ القَصّ
Ayman,prestriate,أَمامَ الجِسْمِ المُخَطَّط
Ayman,presylvian,أَمَامَ شَقِّ سلفيوس
Ayman,presymptom,سابِقَةُالعَْرَض
Ayman,presystole,بَدْءُ الانْقِباض
Ayman,pretarsal,أَمامَ الرُّصُغ
Ayman,pretectals#preterm,خَديج؛ مُبْتَسَر
Ayman,pretibial,أَمامَ الظُّنْبوب
Ayman,"pretibials,pretracheal",أَمامَ الرُّغامَى
Ayman,pretragal,أَمامَ الزَّنَمَة
Ayman,pretragals+pretreat,يُمَهِّدُ للمُعَالَجَة
Ayman,pretreats/pretreatment,سابِقٌ للمُعالَجَة
Ayman,prevermis,أَمامَ الدُّودَة (المُخَيْخِيَّة)
Ayman,prevernals+prevertebral,أَمامَ الفَقار
Ayman,prevesical,أَمامَ المَثانَة
Ayman,previllous,سابِقٌ للتَّزَغُّب [جنين]
Ayman,previtamin,طَليعَةُ الفِيتامين
Ayman,prezonular,أَمامَ النُّطَيقَة (في العين)
Ayman,prezygotic,سابِقٌ للزَّيْجُوت
Ayman,priapitisspriapus,القَضيب
Ayman,pricklesspride,تَباهِي
Ayman,prilocaine,بريلوكائين (بَنْجٌ مَوضِعِيّ)
Ayman,primaquine,بريماكين
Ayman,primerite,الأُقْدُوْمَة (في الحيوانات الأوالي)
Ayman,primerites0primeverose,بريميفروز (سكر نباتي)
Ayman,primidone,بريميدون (دَواءٌ مُضادٌّ لِلاخْتِلاَج)
Ayman,primidones5primigravid,خَرُوس (حامل للمرة الأولى)
Ayman,primipara,بِكْرِيَّة (حامل للمرة الأولى بجنين حي)
Ayman,primiparas)primiparity,البِكْرَوِيَّة
Ayman,primitiae,السَّكْبَة [جنين] (الصاء المنسكب قبل ولادة الجنين؛ السَّكْبَة:الغَرِْس الذي يخرج على رأس الولد)
Ayman,primitives6primitive line,الخَطُّ الابْتِدائِيّ
Ayman,primordium,مَنْشَم
Ayman,primverose,بريمفيروز (سكر نباتي)
Ayman,principals7principal axis,المِحْوَرُ الرَّئيسِيّ
Ayman,print-outsprinter,طابِعة
Ayman,prioritys#prism,مَنْشور [ج: مَواشير]
Ayman,prismatic,مَوْشُورِيّ
Ayman,prismaticsc prismatic ligament of Weitbrecht,رِباطُ فايتبريخت المَوْشُورِيّ
Ayman,prismoids@prismoptometer,مِقْياسُ البَصَرِ المَوْشُورِيّ
Ayman,pro-drugs#pro-otic,أَمامَ الأُذُن
Ayman,pro-otics+proabortion,تَأييدُ الإجْهاض
Ayman,proadifen,برواديفين [أدوية]
Ayman,proamnion,مُقَدَّمُ السَّلَى
Ayman,probations#probe,مِسْبار [ج: مَسابير]
Ayman,probenecid,بروبينيسيد (دواء مضاد للالتهاب)
Ayman,probiosis,تَعايُشٌ تَكافُلِيّ
Ayman,probiosiss'probit,وَحْدَةٌ احْتِمالِيَّة
Ayman,probosciss=probucol,بروبوكول (دَواءٌ خافِضٌ لِلكُولِسْتِرول)
Ayman,probucolsFprocainamide,بروكاييناميد (دَواءٌ مُخَمِّدٌّ قَلْبِيّ)
Ayman,procallussCprocarbazine,بروكاربازين (دَواءٌ مُضادٌّ لِلأَورام)
Ayman,procaryote,بِدائِيُّ النَّواة
Ayman,procedures?procedure-capture,اِسْتِغْلالُ الإِجْراءات
Ayman,procelouss0procentriole,طَليعَةُ المُرَيكِز
Ayman,procercoid,طَليعَةُ الذَّيلاَنِيَّة
Ayman,procerussprocess,طَرِيْقَة
Ayman,processor,مُعَالِجٌ [معلوميات]
Ayman,procheilia,بُروزُ الشَّفَة
Ayman,procheilon,الطَّرْمَة (الطَّرْمَة:النَّبْرَة وسط الشفة العليا ؛ القاموس المحيط)
Ayman,prochoice,تَأْييدُ الإِجْهاض
Ayman,prochoices.prochondral,سابِقٌ للتَّغَضْرُف
Ayman,prochordal,أَمامَ القُرْدود (= أَمامَ الحَبْلِ الظَّهْرِي)
Ayman,prochorion,قادِمَةُ المَشيمَة [حيوان]
Ayman,procoelia,البُطَينُ الجَانِبِِيُّ للدِّماغ
Ayman,procoelias/procollagen,طَليعَةُ الكُولاَجين
Ayman,proctalgia,أَلَمُ المُسْتَقيم
Ayman,proctitis,الْتِهابُ المُسْتَقيم
Ayman,proctitiss'procto-,سابقة بمعنى الشَّرَج
Ayman,proctocele,قيلَةٌ مُسْتَقيمِيَّة
Ayman,proctodeum,المَشْرَج [جنين]
Ayman,proctodone,بروكتودون (هُرْمونٌ حَشَرِيّ)
Ayman,proctology,طِبُّ المُسْتَقيمِ و الشَّرَج
Ayman,proctopexy,تَثْبيتُ المُسْتَقيم
Ayman,proctotome,مِبْضَعُ المُسْتَقيم
Ayman,proctotomy,بَضْعُ المُسْتَقيم
Ayman,procumbent,مُنْبَطِح
Ayman,procursive,أَمامِيُّ التَّحَرَُّك
Ayman,procuticle,الجُلَيْداء (في المَفْصِلِيَّات)
Ayman,prodromal,بَادِرِيّ
Ayman,prodromalsprodrome,بادِرَة
Ayman,prodromics)product,حَصِيْلَة [ج: حَصَائل]
Ayman,proecdysis,طَليعَةُ الانْسِلاَخ
Ayman,proenzyme,طَليعَةُ الإِنْزيم
Ayman,proenzymes@proerythroblast,سَليفَةُ الأَرومَةِ الحَمْراء
Ayman,proestrum,مُقَدِّماتُ الوِداق
Ayman,proestruss9profadol,بروفادول (دَواءٌ مُخَدِّرٌ مُسَكِّن)
Ayman,profadolsJprofenamine,بروفينامين (دَواءٌ مُضادٌّ للبارْكِنْسُونِيَّة)
Ayman,proferment,طَليعَةُ الخَميرَة
Ayman,profilersprofit,الرِّبْح
Ayman,proflavine,بروفلافين (مطهر موضعي)
Ayman,profluvium,نَجّ
Ayman,progamous,سابِقٌ للإِخْصاب
Ayman,progenesis,تَكاثُرٌ مُبَكِّر
Ayman,progerias0progestagen,بروجستيروني المَفْعول
Ayman,progestin,بروجستين
Ayman,progestins0progestogen,بروجستيروني المَفْعول
Ayman,proglossis,عَذَبَة (العَذَبَة:طرف كل شيء ؛ القاموس المحيط)
Ayman,proglottid,أَسَلَة (قطعة من جسم الدودة الشريطية)
Ayman,proglottis,أَسَلَة (قطعة من جسم الدودة الشريطية)
Ayman,proglumide,بروغلوميد (دَواءٌ مُضادٌّ لِلفِعْلِ الكُولينِيّ)
Ayman,prognathia,فَقَم
Ayman,prognathic,أَفْقَم
Ayman,progonoma,وَرَمٌ تَأَسُّلِيّ
Ayman,progonomasprogram,بَرْنامِج
Ayman,progravid,مُهَيَّأٌ للحَمْل
Ayman,progresss#progression,تَقَدُّم
Ayman,proguanil,بروغوانيل (دَواءٌ مُضادٌّ لِلمَلاَرْيا)
Ayman,prohormone,طَليعَةُ الهُرْمون
Ayman,proinsulin,طَليعَةُ الأَنْسولين
Ayman,proiotiasproject,يَقْذِف
Ayman,projectile,مُمْكِنٌ قَذْفُه
Ayman,prokaryon,نَواةٌ بِدائِيَّة
Ayman,prokaryons/prokaryosis,بِدائِيَّةُ النَّواة
Ayman,prokaryote,بِدائِيُّ النَّواة
Ayman,prolabium,عَرْتَمَة (الجزء المركزي الناتىء من الشفة العلوية)
Ayman,prolactins3prolactinoma,وَرَمٌ برُولاَكْتينِيّ
Ayman,prolaminsprolan,برولان
Ayman,proleptics:proleukocyte,سَليفَةُ الكُرَيَّةِ البَيضاء
Ayman,prolidase,بروليداز [إنزيم] (= ببتِداز البرولين)
Ayman,"prolidases""prolife",تاْييدُ الحَياة
Ayman,prolifics0proligerous,مُنْتِجٌ للذُّرِّيَّة
Ayman,prolinase,بروليناز [إنزيم]
Ayman,prolinasesproline,برولين
Ayman,prolinemia,فَرْطُ برولين الدَّم
Ayman,prolintane,برولينتان (دَواءٌ مُضادٌّ لِلإِكْتِئاب)
Ayman,prolonged,مَدِيْد
Ayman,prolongedsDprolymphoblast,سَليفَةُ الأَرومَةِ اللِّمْفاوِيَّة
Ayman,promanide,برومانيد (دَواءٌ مُضادٌّ لِلجُذام)
Ayman,promanidesRpromastigote,المُشَيِّقَة [طفيليات] (مرحلة من دورة حياة المثقبيات)
Ayman,promazine,برومازين (دَواءٌ مُضادٌّ لِلذُّهان)
Ayman,promazines8promegakaryocyte,سَليفَةُ النَّوَّاء
Ayman,promethium,بروميثيوم (العُنْصُرُ الحادِي والسُّتُّون)
Ayman,prominence,بُروز
Ayman,prominent,بَارِز
Ayman,promitosis,تَبَسُّر (انقسام الخلايا الورمية)
Ayman,promontory,طَنَف
Ayman,promotionsLpromoxolane,بروموكسولان (دَواءٌ مُرْخٍ لِلعَضَلِ وَمُهَدِّىء)
Ayman,pronasale,النُّخَيْرَى (نقطة تشريحية)
Ayman,pronasales(pronate,يَبْطَح (لكامل الجسم)
Ayman,pronation,انْبِطاح (لكامل الجسم)
Ayman,pronationsjpronation-supination test,اخْتِبارُ الكَبِّ و الاسْتِلْقاء (للوظيفة المخيخية)
Ayman,pronatorsprone,مَكْبوب
Ayman,pronephron,سَليفَةُ الكُلْوَة [جنين]
Ayman,pronephros,سَليفَةُ الكُلْوَة [جنين]
Ayman,pronetalol,برونيتالول (دَواءٌ مُحْصِرٌ لِلبيتاء)
Ayman,pronometer,مِقْياسُ الكَبّ
Ayman,pronucleus,طَليعَةُ النَّواة
Ayman,prop cells,خَلايَا مِسْبَارِيَّة (عصبونات في الطبقة الوسطى لقشرة المخيخ)
Ayman,propagule,صِرْم (اصغر عدد من احد الانواع الذي يتمكن من استعمار احدى الجزر المسكونة؛ و الصَّرْمُ القطعة من الإبل ومن السحاب)
Ayman,propanidid,بروبانيديد (بنج موضعي)
Ayman,propatyls3propedeutics,إِرْشاداتٌ أَوَّلِيَّة
Ayman,properdin,بروبيردين
Ayman,propertys'prophage,طَليعَةُ العاثِيَة
Ayman,prophagesBprophase,الطَّورُ الأَوَّل (في الانْقِسامِ الخَلَوِيّ)
Ayman,prophases6prophenpyridamine,بروفينبيريدامين
Ayman,propiodal,بروبيودال (مادة دوائية)
Ayman,propionate,بروبيونات
Ayman,propionyl,بروبيونيل
Ayman,propionyls/propiram,بروبيرام (دَواءٌ مُسَكَّن)
Ayman,proplasmin,طَليعَةُ البلاَزْمين
Ayman,proplastid,طَليعَةُ الصَّانِعَةِ
Ayman,proplexus,الضَّفيرَةُ المَشِيميَّةُ للبُطَينِ الجَانِبِيّّ
Ayman,propodites/propodos,قادِمَةُ القَدَم [حَشَرات]
Ayman,propodoss2propolis,عِكْبِر (مادة شمعية من النحل)
Ayman,propoliss#propons,الجُسَير [تشريح]
Ayman,proposita,المُسْتَلِفْتَة
Ayman,proprietor,مالِك (صاحِبُ حَقِّ الانْتِفاع)
Ayman,proprotein,طَليعَةُ البروتين
Ayman,proptosis,انْدِلاَق
Ayman,propylene,بروبيلين
Ayman,propyleneshpropylhexedrine,بروبيل هِكْسِيدْرِين (دَواءٌ مُقَبِّضٌ وِعائِيٌّ مُزيلٌ لِلإِحْتِقان)
Ayman,proquazone,بروكوازون (دَواءٌ مُضادٌّ لِلإِلْتِهاب)
Ayman,prorennin,طَليعَةُ الإِنْفَحَة
Ayman,prosection,تَشْريحٌ مُوَجَّه
Ayman,prosector,مُشَرِّحٌ مُوَجَّه
Ayman,prosectors&prosectorium,مَشْرَحَة
Ayman,prosimian,سَليفُ القِرَدَة
Ayman,prosimians1proso-,سابقة بمعنى الأَمَام
Ayman,prosocele,جَوفُ الدِّماغِ المُقَدَّم
Ayman,prosodemic,قِراف (مَرَضٌ مُعْدٍ من شخص لآخر مباشرة بدلاً من انتشاره بصورة عامة)
Ayman,prosopicsMprosoplasia,تَراقٍ (التَّرَاقي:التطور نحو مستويات أرقى وظيفيا)
Ayman,prostalene,بروستالين (أحد البروستاغلاندينات)
Ayman,prostat-s1prostatalgia,أَلَمُ البرُوسْتاتَة
Ayman,prostatic,بروستاتي
Ayman,prostatics8prostaticovesical,بروستاتي مَثانِيّ
Ayman,prostatism,الحَالَةُ البروستاتِيَّة
Ayman,prostato-,سابقة بمعنى البروستاتة
Ayman,prostato-sHprostatocystitis,الْتِهابُ المَثانَةِ و البرُوسْتاتة
Ayman,prostatomy,بَضْعُ البرُوسْتاتَة
Ayman,prostaxia,اسْتِتْبابُ التَّوَزُّعِ البرُوتينِيّ
Ayman,prosthetic,ضَميم [كيمياء]
Ayman,prosthion,القُدَيمَى (نقطة على الناتىء السنخي للفَكِّ العُلْوِيّ)
Ayman,"prostrates""prostration",إِعْياء
Ayman,protagonsprotal,خِلْقِيّ
Ayman,protamine,بروتامين
Ayman,protamines#protan,أَغْطَشُ الأَحْمَر
Ayman,protandry,تَبْكيرُ الذُّكورَة
Ayman,protandrys1protanomalopia,غَطَشُ الأَحْمَر
Ayman,protanope,أَغْطَشُ الأَحْمَر
Ayman,protanopic,أَعْمَى الأَحْمَرِ و الأَخْضَر
Ayman,protected,مُحَصَّن
Ayman,protectorsproteic,بروتيني
Ayman,proteidic,بروتيني
Ayman,proteidics4proteidogenous,مُوَلِّدٌ للبرُوتين
Ayman,proteinase,بروتيناز [إنزيم]
Ayman,proteinic,بروتيني
Ayman,proteinics,مُلَوِّنٌ بروتيني المَنْشَأ
Ayman,proteinoid,شِبْهُ بروتيني؛ شَبِيْهُ البروتين
Ayman,proteopexy,تَثْبيتُ البروتين
Ayman,proteoses6proteosemia,وُجودُ البرُوتْيُوز بالدَّم
Ayman,proteuria,بِيلَةٌ بروتينية
Ayman,prothesis,بَديل ; بِدْلَة
Ayman,protheticsPprothipendyl,"بروثيبنديل (دَواءٌ مُضادٌّ للهِسْتامين, و مُهَدِّئ)"
Ayman,prothorax,مُقَدَّمُ الصَّدر [حشرات]
Ayman,prothoraxs,بروثرومبين (طَلِيْعَةُ الثرومبين)
Ayman,protidemia,فَرْطُ بروتين الدَّم
Ayman,protinium,البروتيوم (الهِيدرُوجينُ العادِيُّ أَو الخَفيف)
Ayman,protirelin,بروتيريلين (= الهُرْمونُ المُطْلِقُ لِلمُوَجِّهَةِ الدَّرَقِيَّة)
Ayman,protobios,عاثِيَةُ الجَراثيم
Ayman,protoderm,أَدِيْمُ الأُرَيمَة
Ayman,protogyny,تَبْكيرُ الأُنوثَة
Ayman,protokylol,بروتوكيلول (دَواءٌ مُوَسِّعٌ لِلقَصَبِيَّات)
Ayman,protometer,مِقْياسُ الجُحوظ
Ayman,protonics'protonitrate,بروتونترات
Ayman,protophyte,أَوالِيٌّ نَباتِيّ (نَباتٌ وَحيدُ الخَلِيَّة)
Ayman,protopine,بروتوبين (قَلَوانِيٌّ مُنَوِّم)
Ayman,protopines/protoplasia,بِدايَةُ التَّنَسُّج
Ayman,protoplast,الجِبْلَةُ المُجَرَّدَة
Ayman,protopsis,جُحوظ
Ayman,protosalts+protoscolex,رُؤَيسٌ بَدْئِيّ
Ayman,protospasm,تَشَنُّجٌ بَدْئِيّ
Ayman,protospore,بَوْغٌ أَوَّلِيّ
Ayman,protostoma,مَسَمُّ الأُرَيمَة
Ayman,protostome,مَسَمِّيُّ الفَم
Ayman,prototroph,أُنْمُوذَجِيُّ التَّغَذِّي
Ayman,prototropy,صِنْوانِيَّةٌ بروتونية
Ayman,prototypesNprotoveratrine,بروتوفيراترين (دَواءٌ خافِضٌ لِضَغْطِ الدَّم)
Ayman,protoxide,بروتوكسيد
Ayman,protoxides'protoxin,بَديئَةُ الذِّيفان
Ayman,protoxoids*protozoa,أَوَاليٌّ حَيَوَانِيّ
Ayman,protozoas-protozoacide,مُبيدُ الأَوالِي
Ayman,protozoal,متعلق ب الأَوَالي
Ayman,protozoans0protozoiasis,داءُ الأوَالِيَّاتِ
Ayman,protozoon,أَوَاليٌّ حَيَوَانِيّّ
Ayman,protracts!protraction,مَطْلٌ
Ayman,protractor,لَاقِط (أداة لنزع الأجسام الأجنبية من الجروح)
Ayman,protrusio,تَبارُز
Ayman,protrusive,مُتَبَارِز
Ayman,protrypsin,مُوَلِّدُ الترِبْسين
Ayman,providers&provirus,طَليعَةُ الفَيروس
Ayman,provisions&provisional,احْتِياطِيّ
Ayman,provitamin,طَليعَةُ الفيتامين
Ayman,proxazole,بروكسازول (دَواءٌ مُسَكِّنٌ وَمُضادٌّ لِلإِلْتِهاب)
Ayman,proxemicss2proxi-,سابقة بمعنى الدُّنُوّ
Ayman,"proximads""proximal",دانٍِ (دانِي)
Ayman,proximates:proximo-,سابقة بمعنى الدُّنُوّ
Ayman,prozonals1prozone,طَليعَةُ المِنْطَقَة [مناعيات]
Ayman,prozymogen,طَليعَةُ مُوَلِّدِ الإِنْزيم
Ayman,pruinatesprune,يُشَذِّبُ
Ayman,pruritics.pruritogenic,مُحْدِثٌ للحِكَّة
Ayman,prussiatesps,رمز بثا (= 10 قوة12)
Ayman,psalterial,متعلق ب صِوارِ القَبْو
Ayman,psalterium,أُمُّ التَّلافيف (المَعِدَةُ الثالثة في المُجْتَرَّات)
Ayman,psammisms'psammo-,سابقة بمعنى الرَّمْل
Ayman,psammomas9psammomatous,متعلق ب الوَرَمِ الرَّمْلِيّ
Ayman,"psellisms""pseud-",سابقة بمعنى كاذِب
Ayman,pseudaphia,ضَعْفُ حِسِّ اللَّمْس
Ayman,pseudocast,أُسْطُوانَةٌ كاذِبَة
Ayman,pseudocele,جَوفُ الحاجِزِ الشَّفَّاف
Ayman,pseudocyst,كِيْسَةٌ كاذِبَة
Ayman,pseudogene,جينٌ كاذِب
Ayman,pseudogout,نِقْرِسٌ كاذِب
Ayman,pseudoion,أَيونٌ كاذِب
Ayman,pseudoionsDpseudoisochromatic,مُتَساوي الأَلْوانِ الكاذِب
Ayman,pseudopod,قَدَمٌ كاذِبَة
Ayman,pseudopods:pseudopodiospore,أَمِيْبَةٌ صَغِيْرَةٌ
Ayman,pseudopsia,رُؤْيَةٌ كاذِبَة
Ayman,pseudosmia,شَمٌّ كاذِب
Ayman,psodymuss4psoitis,الْتِهابُ العَضَلَةِ القَطَنِيَّة
Ayman,psomophagy,بَلْعُ الطَّعام
Ayman,psoriasis,صَدَفِيَّة
Ayman,psoriaticsLpsorophthalmia,الْتِهابُ حَوافِي الأَجْفانِ التَّقَرُّحِيّ
Ayman,psychalgia,أَلَمٌ نَفْسِيُّ المَنْشَأ
Ayman,psychalgic,متعلق ب الأَلَمِ النَّفْسِيِّ المَنْشَأ
Ayman,psychalogy,عِلاَجٌ نَفْسِيٌّ اجْتِماعِيّ
Ayman,psychicss'psycho-,سابقة بمعنى النَّفْس
Ayman,psychocoma,غَيبُوبَةٌ نَفْسِيَّةُ
Ayman,psychogram,مُخَطَّطُ الشَّخْصِيَّة
Ayman,psychonomy,نَواميسُ النَّشاطِ الذِّهْنِيّ
Ayman,psychopath,مُعْتَلُّ النَّفْس
Ayman,psychosine,سَِْيكُوزِين
Ayman,psychotic,ذُهانِيّ؛ مَذْهُوْن
Ayman,"psychotics,psychotogen",مُحْدِثُ الذُّهان
Ayman,"psychro-s,psychroalgia",أَلَمٌ بُرودِيّ
Ayman,psylliumspt,مختصر مَريض
Ayman,pteridine,تَيريدِين (مركب نتروجيني)
Ayman,pteridines2pteridophyte,لَازَهْرِيٌّ وِعائِيّ
Ayman,pternalgia,أَلَمُ العَقِب
Ayman,pterygium,ظُفْرَة
Ayman,pterygiums)pterygo-,سابقة بمعنى الجَنَاح
Ayman,pterygo-s@pterygo-plexus,ضَفيرَةٌ جَناحِيَّةٌ وَريدِيَّة
Ayman,pterygoid,جَناحِيّ
Ayman,pterygoids@pterygoid apophysis,النَّاتِئُ الجَناحِيّ
Ayman,pthiriasis,داءُ القَمْلِ العانِيّ
Ayman,ptilosiss(ptisan,شَرابٌ ساخِنٌ ومُحَلَّى
Ayman,ptomaines6ptomainemia,وُجودُ التُّومائين بِالدَّم
Ayman,ptomatine,تُوماتِين
Ayman,ptomatinesGptomatopsia,الصِّفَةُ التَّشْرِيْحِيَّة؛ فَتْحُ الجُثَّة
Ayman,ptomatopsy,الصِّفَةُ التَّشْرِيْحِيَّة؛ فَتْحُ الجُثَّة
Ayman,ptyalisms&ptyalith,حَصاةٌ لُعابِيَّة
Ayman,ptyaliths;ptyalize,يَسْتَلْعِبِ (يزيد إفْرَازِ اللُّعَاب)
Ayman,ptyalizes6ptyalo-,سابقة بمعنى اللُّعَاب
Ayman,ptyalocele,قيلَةٌ لُعابِيَّة
Ayman,ptyalolith,حَصاةٌ لُعَابِيَّةٌ
Ayman,ptyalosiss-ptyocrinous,إِفْرازٌ حُبَيبِيّ
Ayman,pubarchespuberal,بُلوغِيّ
Ayman,pubertalspubertas,البُلوغ
Ayman,pubertasspuberty,البُلوغ
Ayman,puberulent,أَزْغَب
Ayman,puberulous,أَزْغَب
Ayman,pubescence,تَزَغُّب
Ayman,pubescent,أَزْغَب
Ayman,pubescentspubic,عانِيّ
Ayman,pubic bone,عَظْمُ العانَة
Ayman,pubiotomy,بَضْعُ العانَة
Ayman,pubiotomys0pubisure,الشِّعْرَة (شَعْرُ العانَة)
Ayman,pubisurespublic,عُمُوْمِيّ
